RMSE of SPM,RMSE of baseLine
1.9364916731,0.288675134595
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,25,25,25
1,25,25,25
2,25,25,25
3,25,25,25
4,25,25,25
5,25,25,25
6,25,25,25
7,30,30,30
8,30,30,30
9,30,30,30
10,35,35,35
11,35,35,35
12,35,35,35
13,33,33,33
14,33,33,33
15,33,33,33
16,33,33,33
17,33,33,33
18,33,33,33
19,33,33,33
20,30,30,30
21,30,30,30
22,30,30,30
23,30,30,30
24,33,33,33
25,33,33,33
26,33,33,33
27,33,33,33
28,38,38,38
29,38,38,38
30,38,38,38
31,38,38,38
32,31,31,31
33,31,31,31
34,31,31,31
35,29,29,29
36,29,29,29
37,29,29,29
38,29,29,29
39,27,27,27
40,27,27,27
41,27,27,27
42,27,27,27
43,27,27,27
44,30,30,30
45,30,30,30
46,30,30,30
47,30,30,30
48,30,30,30
49,30,30,30
50,18,18,18
51,15,15,15
52,18,18,18
53,18,18,18
54,18,18,18
55,18,18,18
56,29,29,29
57,29,29,29
58,29,29,29
59,29,29,29
60,37,37,37
61,37,37,37
62,37,37,37
63,37,37,37
64,37,37,37
65,37,37,37
66,38,38,38
67,36,36,36
68,36,36,36
69,36,36,36
70,36,36,36
71,39,39,39
72,39,39,39
73,39,39,39
74,39,39,39
75,39,39,39
76,38,38,38
77,38,38,38
78,38,38,38
79,38,38,38
80,38,38,38
81,38,38,38
82,38,38,38
83,38,38,38
84,38,38,38
85,41,41,41
86,41,41,41
87,41,41,41
88,39,39,39
89,39,39,39
90,39,39,39
91,41,41,41
92,41,41,41
93,39,39,39
94,39,39,39
95,41,41,41
96,41,41,41
97,41,41,41
98,39,39,39
99,39,39,39
100,42,42,42
101,42,42,42
102,42,42,42
103,42,42,42
104,43,43,43
105,43,43,43
106,43,43,43
107,43,43,43
108,43,43,43
109,42,42,42
110,43,43,43
111,43,43,43
112,43,43,43
113,43,43,43
114,42,42,42
115,42,42,42
116,42,42,42
117,43,43,43
118,43,43,43
119,43,43,43
120,43,43,43
121,43,43,43
122,41,41,41
123,41,41,41
124,41,41,41
125,41,41,41
126,41,41,41
127,41,41,41
128,41,41,41
129,41,41,41
130,42,42,42
131,42,42,42
132,42,42,42
133,42,42,42
134,42,42,42
135,42,42,42
136,44,44,44
137,44,44,44
138,44,44,44
139,44,44,44
140,44,44,44
141,44,44,44
142,44,44,44
143,44,44,44
144,44,44,44
145,44,44,44
146,44,44,44
147,43,43,43
148,43,43,43
149,42,42,42
150,43,43,43
151,43,43,43
152,42,42,42
153,42,42,42
154,42,42,42
155,42,42,42
156,43,43,43
157,43,43,43
158,43,43,43
159,43,43,43
160,43,43,43
161,43,43,43
162,43,43,43
163,43,43,43
164,43,43,43
165,43,43,43
166,43,43,43
167,43,43,43
168,43,43,43
169,44,44,44
170,44,44,44
171,44,44,44
172,44,44,44
173,44,44,44
174,44,44,44
175,44,44,44
176,44,44,44
177,41,41,41
178,41,41,41
179,41,41,41
180,41,41,41
181,41,41,41
182,41,41,41
183,41,41,41
184,41,41,41
185,41,41,41
186,41,41,41
187,41,41,41
188,41,41,41
189,41,41,41
190,41,41,41
191,44,44,44
192,44,44,44
193,44,44,44
194,44,44,44
195,44,44,44
196,43,43,43
197,43,43,43
198,43,43,43
199,43,43,43
200,43,43,43
201,43,43,43
202,43,43,43
203,43,43,43
204,43,43,43
205,43,43,43
206,43,43,43
207,43,43,43
208,40,40,40
209,40,40,40
210,40,40,40
211,40,40,40
212,40,40,40
213,40,40,40
214,40,40,40
215,40,40,40
216,40,40,40
217,40,40,40
218,40,40,40
219,40,40,40
220,40,40,40
221,40,40,40
222,40,40,40
223,40,40,40
224,40,40,40
225,40,40,40
226,40,40,40
227,40,42,40
228,40,41,40
229,40,41,40
230,40,41,40
231,40,40,40
232,40,40,40
233,41,42,40
234,41,43,41
235,41,45,41
236,41,44,41
237,41,43,41
238,41,43,41
