RMSE of SPM,RMSE of baseLine
1.63299316186,1.63299316186
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,4,4,4
1,4,4,4
2,4,4,4
3,3,3,3
4,3,3,3
5,3,3,3
6,3,3,3
7,2,2,2
8,2,2,2
9,2,2,2
10,1,1,1
11,1,1,1
12,1,1,1
13,2,2,2
14,2,2,2
15,2,2,2
16,2,2,2
17,2,2,2
18,2,2,2
19,3,3,3
20,2,2,2
21,4,4,4
22,4,4,4
23,4,4,4
24,4,4,4
25,4,4,4
26,4,4,4
27,2,2,2
28,1,1,1
29,1,1,1
30,3,3,3
31,1,1,1
32,3,3,3
33,2,2,2
34,2,2,2
35,2,2,2
36,2,2,2
37,3,3,3
38,3,3,3
39,2,2,2
40,2,2,2
41,2,2,2
42,3,3,3
43,3,3,3
44,3,3,3
45,3,3,3
46,3,3,3
47,2,2,2
48,2,2,2
49,2,2,2
50,2,2,2
51,3,3,3
52,3,3,3
53,3,3,3
54,3,3,3
55,2,2,2
56,3,3,3
57,3,3,3
58,3,3,3
59,3,3,3
60,3,3,3
61,3,3,3
62,2,2,2
63,2,2,2
64,2,2,2
65,3,3,3
66,3,3,3
67,3,3,3
68,3,3,3
69,3,3,3
70,3,3,3
71,3,3,3
72,2,2,2
73,3,3,3
74,4,4,4
75,4,4,4
76,3,3,3
77,2,2,2
78,3,3,3
79,3,3,3
80,3,3,3
81,3,3,3
82,3,3,3
83,3,3,3
84,4,4,4
85,4,4,4
86,4,4,4
87,4,4,4
88,5,5,5
89,5,5,5
90,5,5,5
91,5,5,5
92,5,5,5
93,5,5,5
94,4,4,4
95,6,6,6
96,4,4,4
97,4,4,4
98,4,4,4
99,4,4,4
100,6,6,6
101,6,6,6
102,7,7,7
103,11,11,11
104,11,11,11
105,11,11,11
106,11,11,11
107,11,11,11
108,14,14,14
109,14,14,14
110,14,14,14
111,14,14,14
112,13,13,13
113,14,14,14
114,16,16,16
115,16,16,16
116,16,16,16
117,18,18,18
118,22,22,22
119,16,16,16
120,24,24,24
121,24,24,24
122,20,20,20
123,22,22,22
124,24,24,24
125,24,24,24
126,24,24,24
127,25,25,25
128,25,25,25
129,30,30,30
130,30,30,30
131,27,27,27
132,27,27,27
133,28,28,28
134,28,28,28
135,28,28,28
136,28,28,28
137,28,28,28
138,28,28,28
139,28,28,28
140,28,28,28
141,37,37,37
142,37,37,37
143,30,30,30
144,30,30,30
145,30,30,30
146,30,30,30
147,30,30,30
148,33,33,33
149,33,33,33
150,33,33,33
151,37,37,37
152,35,35,35
153,37,37,37
154,35,35,35
155,35,35,35
156,35,35,35
157,35,35,35
158,35,35,35
159,35,35,35
160,35,35,35
161,35,35,35
162,35,35,35
163,37,37,37
164,35,35,35
165,35,35,35
166,35,35,35
167,35,35,35
168,35,35,35
169,35,35,35
170,35,35,35
171,35,35,35
172,36,36,36
173,36,36,36
174,38,38,38
175,38,38,38
176,37,37,37
177,38,38,38
178,38,38,38
179,38,38,38
180,38,38,38
181,38,38,38
182,40,40,40
183,37,37,37
184,37,37,37
185,40,40,40
186,40,40,40
187,42,42,42
188,42,42,42
189,42,42,42
190,42,42,42
191,39,39,39
192,36,36,36
193,36,36,36
194,39,39,39
195,39,39,39
196,39,39,39
197,40,40,40
198,40,40,40
199,40,40,40
200,40,40,40
201,40,40,40
202,40,40,40
203,41,41,41
204,40,40,40
205,42,42,42
206,43,43,43
207,43,43,43
208,43,43,43
209,43,43,43
210,42,42,42
211,42,42,42
212,43,43,43
213,43,43,43
214,46,46,46
215,48,48,48
216,42,42,42
217,46,46,46
218,46,46,46
219,46,46,46
220,46,46,46
221,47,47,47
222,46,46,46
223,46,46,46
224,46,46,46
225,46,46,46
226,46,46,46
227,46,46,46
228,46,46,46
229,46,46,46
230,46,46,46
231,50,50,50
232,50,50,50
233,49,49,49
234,49,49,49
235,49,49,49
236,49,49,49
237,49,49,49
238,49,49,49
239,53,53,53
240,51,51,51
241,51,51,51
242,51,51,51
243,51,51,51
244,51,51,51
245,54,54,54
246,54,54,54
247,54,54,54
248,53,53,53
249,53,53,53
250,56,56,56
251,51,51,51
252,51,51,51
253,55,55,55
254,54,54,54
255,51,51,51
256,51,51,51
257,51,51,51
258,51,51,51
259,51,51,51
260,53,53,53
261,53,53,53
262,53,53,53
263,50,50,50
264,50,50,50
265,50,50,50
266,50,50,50
267,50,50,50
268,53,53,53
269,51,51,51
270,49,49,49
271,50,50,50
272,50,50,50
273,50,50,50
274,47,50,50
275,49,47,47
276,49,49,49
277,51,49,49
278,48,51,51
279,48,48,48
280,48,48,48
281,46,48,48
282,47,46,46
283,46,47,47
