RMSE of SPM,RMSE of baseLine
0.645497224368,0.645497224368
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,29,29,29
1,29,29,29
2,28,28,28
3,28,28,28
4,29,29,29
5,28,28,28
6,28,28,28
7,3,3,3
8,3,3,3
9,4,4,4
10,4,4,4
11,4,4,4
12,4,4,4
13,4,4,4
14,2,2,2
15,4,4,4
16,4,4,4
17,3,3,3
18,5,5,5
19,3,3,3
20,3,3,3
21,3,3,3
22,3,3,3
23,3,3,3
24,3,3,3
25,2,2,2
26,3,3,3
27,2,2,2
28,4,4,4
29,4,4,4
30,4,4,4
31,4,4,4
32,2,2,2
33,2,2,2
34,2,2,2
35,2,2,2
36,2,2,2
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,3,3,3
56,2,2,2
57,2,2,2
58,2,2,2
59,2,2,2
60,2,2,2
61,3,3,3
62,1,1,1
63,1,1,1
64,1,1,1
65,1,1,1
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,2,2,2
73,3,3,3
74,2,2,2
75,2,2,2
76,2,2,2
77,2,2,2
78,1,1,1
79,2,2,2
80,2,2,2
81,3,3,3
82,3,3,3
83,3,3,3
84,3,3,3
85,4,4,4
86,4,4,4
87,4,4,4
88,4,4,4
89,4,4,4
90,4,4,4
91,3,3,3
92,3,3,3
93,2,2,2
94,2,2,2
95,2,2,2
96,2,2,2
97,2,2,2
98,1,1,1
99,1,1,1
100,4,4,4
101,4,4,4
102,2,2,2
103,2,2,2
104,2,2,2
105,2,2,2
106,2,2,2
107,2,2,2
108,3,3,3
109,3,3,3
110,3,3,3
111,2,2,2
112,2,2,2
113,2,2,2
114,2,2,2
115,3,3,3
116,2,2,2
117,3,3,3
118,3,3,3
119,4,4,4
120,4,4,4
121,2,2,2
122,4,4,4
123,4,4,4
124,4,4,4
125,4,4,4
126,4,4,4
127,4,4,4
128,7,7,7
129,7,7,7
130,7,7,7
131,11,11,11
132,11,11,11
133,11,11,11
134,12,12,12
135,14,14,14
136,14,14,14
137,15,15,15
138,15,15,15
139,15,15,15
140,16,16,16
141,16,16,16
142,15,15,15
143,17,17,17
144,19,19,19
145,19,19,19
146,19,19,19
147,19,19,19
148,19,19,19
149,23,23,23
150,23,23,23
151,23,23,23
152,25,25,25
153,26,26,26
154,29,29,29
155,27,27,27
156,27,27,27
157,27,27,27
158,29,29,29
159,29,29,29
160,26,26,26
161,26,26,26
162,26,26,26
163,29,29,29
164,29,29,29
165,29,29,29
166,29,29,29
167,24,24,24
168,24,24,24
169,23,23,23
170,23,23,23
171,24,24,24
172,27,27,27
173,27,27,27
174,27,27,27
175,25,25,25
176,24,24,24
177,24,24,24
178,24,24,24
179,24,24,24
180,24,24,24
181,24,24,24
182,24,24,24
183,24,24,24
184,24,24,24
185,21,21,21
186,22,22,22
187,22,22,22
188,22,22,22
189,22,22,22
190,22,22,22
191,21,21,21
192,21,21,21
193,21,21,21
194,21,21,21
195,21,21,21
196,17,17,17
197,17,17,17
198,17,17,17
199,21,21,21
200,19,19,19
201,19,19,19
202,20,20,20
203,20,20,20
204,21,21,21
205,21,21,21
206,21,21,21
207,21,21,21
208,21,21,21
209,21,21,21
210,21,21,21
211,25,25,25
212,25,25,25
213,24,24,24
214,24,24,24
215,25,25,25
216,25,25,25
217,23,23,23
218,23,23,23
219,22,22,22
220,22,22,22
221,25,25,25
222,26,26,26
223,26,26,26
224,26,26,26
225,26,26,26
226,30,30,30
227,30,30,30
228,29,29,29
229,27,27,27
230,27,27,27
231,30,30,30
232,30,30,30
233,30,30,30
234,30,30,30
235,30,30,30
236,30,30,30
237,32,32,32
238,36,36,36
239,36,36,36
240,36,36,36
241,36,36,36
242,36,36,36
243,36,36,36
244,36,36,36
245,36,36,36
246,36,36,36
247,36,36,36
248,36,36,36
249,40,40,40
250,40,40,40
251,40,40,40
252,40,40,40
253,45,45,45
254,45,45,45
255,45,45,45
256,44,44,44
257,44,44,44
258,44,44,44
259,45,45,45
260,45,45,45
261,45,45,45
262,45,45,45
263,45,45,45
264,45,45,45
265,47,47,47
266,47,47,47
267,47,47,47
268,45,45,45
269,45,45,45
270,45,45,45
271,45,45,45
272,45,45,45
273,45,45,45
274,45,45,45
275,45,45,45
276,45,45,45
277,45,45,45
278,44,45,45
279,44,44,44
280,44,44,44
281,46,44,44
282,46,46,46
283,46,46,46
