RMSE of SPM,RMSE of baseLine
41.3853838934,41.3853838934
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,152,152,152
1,185,185,185
2,185,185,185
3,78,78,78
4,54,54,54
5,137,137,137
6,137,137,137
7,137,137,137
8,194,194,194
9,188,188,188
10,188,188,188
11,188,188,188
12,188,188,188
13,188,188,188
14,137,137,137
15,137,137,137
16,111,111,111
17,111,111,111
18,111,111,111
19,89,89,89
20,69,69,69
21,69,69,69
22,223,223,223
23,223,223,223
24,223,223,223
25,224,224,224
26,101,101,101
27,33,33,33
28,31,31,31
29,43,43,43
30,43,43,43
31,29,29,29
32,40,40,40
33,43,43,43
34,43,43,43
35,99,99,99
36,99,99,99
37,70,70,70
38,70,70,70
39,108,108,108
40,100,100,100
41,87,87,87
42,87,87,87
43,81,81,81
44,81,81,81
45,68,68,68
46,43,43,43
47,74,74,74
48,74,74,74
49,74,74,74
50,35,35,35
51,35,35,35
52,16,16,16
53,16,16,16
54,20,20,20
55,20,20,20
56,8,8,8
57,8,8,8
58,8,8,8
59,12,12,12
60,12,12,12
61,10,10,10
62,8,8,8
63,8,8,8
64,6,6,6
65,6,6,6
66,5,5,5
67,5,5,5
68,5,5,5
69,5,5,5
70,5,5,5
71,7,7,7
72,10,10,10
73,10,10,10
74,10,10,10
75,10,10,10
76,11,11,11
77,11,11,11
78,11,11,11
79,11,11,11
80,11,11,11
81,11,11,11
82,11,11,11
83,12,12,12
84,12,12,12
85,12,12,12
86,12,12,12
87,12,12,12
88,23,23,23
89,23,23,23
90,23,23,23
91,23,23,23
92,28,28,28
93,28,28,28
94,27,27,27
95,26,26,26
96,23,23,23
97,20,20,20
98,21,21,21
99,21,21,21
100,25,25,25
101,27,27,27
102,29,29,29
103,32,32,32
104,32,32,32
105,32,32,32
106,32,32,32
107,40,40,40
108,39,39,39
109,36,36,36
110,35,35,35
111,36,36,36
112,36,36,36
113,37,37,37
114,38,38,38
115,38,38,38
116,45,45,45
117,45,45,45
118,45,45,45
119,45,45,45
120,51,51,51
121,51,51,51
122,55,55,55
123,55,55,55
124,55,55,55
125,55,55,55
126,57,57,57
127,57,57,57
128,57,57,57
129,57,57,57
130,57,57,57
131,59,59,59
132,60,60,60
133,60,60,60
134,60,60,60
135,60,60,60
136,60,60,60
137,60,60,60
138,60,60,60
139,61,61,61
140,61,61,61
141,63,63,63
142,74,74,74
143,74,74,74
144,67,67,67
145,86,86,86
146,113,113,113
147,101,101,101
148,101,101,101
149,101,101,101
150,103,103,103
151,134,134,134
152,157,157,157
153,124,124,124
154,109,109,109
155,109,109,109
156,137,137,137
157,133,133,133
158,133,133,133
159,133,133,133
160,118,118,118
161,118,118,118
162,118,118,118
163,118,118,118
164,128,128,128
165,103,103,103
166,103,103,103
167,102,102,102
168,102,102,102
169,98,98,98
170,98,98,98
171,98,98,98
172,98,98,98
173,154,154,154
174,154,154,154
175,67,67,67
176,103,103,103
177,75,75,75
178,109,109,109
179,197,197,197
180,197,197,197
181,197,197,197
182,155,155,155
183,198,198,198
184,302,302,302
185,302,302,302
186,302,302,302
187,386,386,386
188,169,169,169
189,196,196,196
190,196,196,196
191,196,196,196
192,249,249,249
193,237,237,237
194,237,237,237
195,217,217,217
196,217,217,217
197,179,179,179
198,179,179,179
199,179,179,179
200,179,179,179
201,179,179,179
202,305,305,305
203,264,264,264
204,264,264,264
205,207,207,207
206,207,207,207
207,274,274,274
208,267,267,267
209,267,267,267
210,267,267,267
211,267,267,267
212,267,267,267
213,267,267,267
214,482,482,482
215,482,482,482
216,482,482,482
217,551,551,551
218,551,551,551
219,551,551,551
220,399,399,399
221,399,399,399
222,399,399,399
223,419,419,419
224,427,427,427
225,355,355,355
226,355,355,355
227,379,379,379
228,389,389,389
229,366,366,366
230,558,558,558
231,558,558,558
232,433,433,433
233,241,241,241
234,286,286,286
235,286,286,286
236,286,286,286
237,286,286,286
238,403,403,403
239,557,557,557
240,672,672,672
241,672,672,672
242,672,672,672
243,424,424,424
244,424,424,424
245,424,424,424
246,424,424,424
247,365,365,365
248,365,365,365
249,365,365,365
250,267,267,267
251,267,267,267
252,243,243,243
253,243,243,243
254,243,243,243
255,243,243,243
256,243,243,243
257,243,243,243
258,390,390,390
259,390,390,390
260,390,390,390
261,236,236,236
262,236,236,236
263,356,356,356
264,356,356,356
265,356,356,356
266,436,436,436
267,436,436,436
268,436,436,436
269,248,248,248
270,248,248,248
271,143,143,143
272,227,143,143
273,227,227,227
274,227,227,227
275,227,227,227
276,115,227,227
277,128,115,115
278,128,128,128
279,128,128,128
280,128,128,128
281,128,128,128
282,100,128,128
283,100,100,100
