RMSE of SPM,RMSE of baseLine
1.65831239518,1.65831239518
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,14,14,14
1,14,14,14
2,16,16,16
3,17,17,17
4,17,17,17
5,17,17,17
6,16,16,16
7,16,16,16
8,22,22,22
9,22,22,22
10,73,73,73
11,73,73,73
12,73,73,73
13,73,73,73
14,73,73,73
15,73,73,73
16,73,73,73
17,27,27,27
18,27,27,27
19,27,27,27
20,44,44,44
21,44,44,44
22,44,44,44
23,44,44,44
24,44,44,44
25,44,44,44
26,32,32,32
27,27,27,27
28,27,27,27
29,23,23,23
30,23,23,23
31,20,20,20
32,20,20,20
33,47,47,47
34,47,47,47
35,47,47,47
36,47,47,47
37,47,47,47
38,21,21,21
39,34,34,34
40,34,34,34
41,42,42,42
42,24,24,24
43,24,24,24
44,24,24,24
45,24,24,24
46,24,24,24
47,6,6,6
48,4,4,4
49,4,4,4
50,4,4,4
51,4,4,4
52,4,4,4
53,4,4,4
54,19,19,19
55,19,19,19
56,17,17,17
57,17,17,17
58,17,17,17
59,22,22,22
60,15,15,15
61,15,15,15
62,15,15,15
63,15,15,15
64,18,18,18
65,15,15,15
66,13,13,13
67,12,12,12
68,12,12,12
69,12,12,12
70,15,15,15
71,15,15,15
72,11,11,11
73,11,11,11
74,11,11,11
75,11,11,11
76,11,11,11
77,11,11,11
78,17,17,17
79,17,17,17
80,13,13,13
81,13,13,13
82,13,13,13
83,13,13,13
84,11,11,11
85,11,11,11
86,13,13,13
87,15,15,15
88,18,18,18
89,23,23,23
90,23,23,23
91,23,23,23
92,23,23,23
93,23,23,23
94,23,23,23
95,29,29,29
96,30,30,30
97,30,30,30
98,29,29,29
99,30,30,30
100,30,30,30
101,30,30,30
102,30,30,30
103,31,31,31
104,32,32,32
105,34,34,34
106,37,37,37
107,39,39,39
108,39,39,39
109,39,39,39
110,39,39,39
111,45,45,45
112,52,52,52
113,51,51,51
114,51,51,51
115,50,50,50
116,50,50,50
117,50,50,50
118,51,51,51
119,51,51,51
120,51,51,51
121,51,51,51
122,51,51,51
123,51,51,51
124,51,51,51
125,51,51,51
126,52,52,52
127,52,52,52
128,52,52,52
129,51,51,51
130,50,50,50
131,50,50,50
132,50,50,50
133,50,50,50
134,50,50,50
135,50,50,50
136,50,50,50
137,50,50,50
138,49,49,49
139,48,48,48
140,48,48,48
141,48,48,48
142,48,48,48
143,46,46,46
144,46,46,46
145,46,46,46
146,45,45,45
147,46,46,46
148,46,46,46
149,46,46,46
150,46,46,46
151,46,46,46
152,47,47,47
153,47,47,47
154,47,47,47
155,48,48,48
156,48,48,48
157,47,47,47
158,47,47,47
159,49,49,49
160,49,49,49
161,50,50,50
162,50,50,50
163,50,50,50
164,50,50,50
165,50,50,50
166,49,49,49
167,49,49,49
168,47,47,47
169,48,48,48
170,49,49,49
171,49,49,49
172,49,49,49
173,49,49,49
174,47,47,47
175,47,47,47
176,47,47,47
177,47,47,47
178,47,47,47
179,47,47,47
180,47,47,47
181,46,46,46
182,46,46,46
183,49,49,49
184,49,49,49
185,53,53,53
186,53,53,53
187,53,53,53
188,53,53,53
189,52,52,52
190,52,52,52
191,52,52,52
192,52,52,52
193,52,52,52
194,53,53,53
195,53,53,53
196,53,53,53
197,53,53,53
198,58,58,58
199,58,58,58
200,58,58,58
201,58,58,58
202,57,57,57
203,62,62,62
204,59,59,59
205,59,59,59
206,59,59,59
207,64,64,64
208,63,63,63
209,64,64,64
210,58,58,58
211,58,58,58
212,53,53,53
213,52,52,52
214,52,52,52
215,48,48,48
216,48,48,48
217,48,48,48
218,48,48,48
219,48,48,48
220,48,48,48
221,48,48,48
222,48,48,48
223,52,52,52
224,51,51,51
225,54,54,54
226,54,54,54
227,54,54,54
228,54,54,54
229,53,53,53
230,51,51,51
231,51,51,51
232,51,51,51
233,51,51,51
234,51,51,51
235,52,52,52
236,52,52,52
237,52,52,52
238,52,52,52
239,52,52,52
240,59,59,59
241,57,57,57
242,57,57,57
243,58,58,58
244,59,59,59
245,59,59,59
246,53,53,53
247,47,47,47
248,46,46,46
249,46,46,46
250,46,46,46
251,46,46,46
252,72,72,72
253,72,72,72
254,72,72,72
255,49,49,49
256,49,49,49
257,47,47,47
258,47,47,47
259,47,47,47
260,45,45,45
261,45,45,45
262,45,45,45
263,45,45,45
264,45,45,45
265,43,43,43
266,43,43,43
267,43,43,43
268,37,37,37
269,41,41,41
270,45,45,45
271,47,47,47
272,43,47,47
273,43,43,43
274,41,43,43
275,41,41,41
276,41,41,41
277,41,41,41
278,41,41,41
279,41,41,41
280,41,41,41
281,41,41,41
282,38,41,41
283,40,38,38
