RMSE of SPM,RMSE of baseLine
0.408248290464,0.408248290464
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,9,9,9
1,14,14,14
2,14,14,14
3,17,17,17
4,17,17,17
5,17,17,17
6,17,17,17
7,9,9,9
8,9,9,9
9,7,7,7
10,7,7,7
11,6,6,6
12,6,6,6
13,6,6,6
14,6,6,6
15,6,6,6
16,6,6,6
17,6,6,6
18,6,6,6
19,5,5,5
20,5,5,5
21,3,3,3
22,3,3,3
23,6,6,6
24,6,6,6
25,6,6,6
26,14,14,14
27,15,15,15
28,15,15,15
29,15,15,15
30,15,15,15
31,15,15,15
32,15,15,15
33,15,15,15
34,14,14,14
35,13,13,13
36,13,13,13
37,13,13,13
38,13,13,13
39,9,9,9
40,9,9,9
41,9,9,9
42,9,9,9
43,9,9,9
44,9,9,9
45,9,9,9
46,9,9,9
47,8,8,8
48,7,7,7
49,9,9,9
50,9,9,9
51,9,9,9
52,10,10,10
53,10,10,10
54,10,10,10
55,10,10,10
56,6,6,6
57,5,5,5
58,5,5,5
59,5,5,5
60,5,5,5
61,7,7,7
62,7,7,7
63,7,7,7
64,7,7,7
65,7,7,7
66,6,6,6
67,6,6,6
68,5,5,5
69,5,5,5
70,6,6,6
71,7,7,7
72,8,8,8
73,9,9,9
74,9,9,9
75,9,9,9
76,8,8,8
77,9,9,9
78,13,13,13
79,10,10,10
80,10,10,10
81,10,10,10
82,10,10,10
83,8,8,8
84,8,8,8
85,8,8,8
86,4,4,4
87,5,5,5
88,5,5,5
89,5,5,5
90,5,5,5
91,5,5,5
92,5,5,5
93,5,5,5
94,5,5,5
95,9,9,9
96,10,10,10
97,13,13,13
98,13,13,13
99,12,12,12
100,13,13,13
101,13,13,13
102,13,13,13
103,16,16,16
104,16,16,16
105,13,13,13
106,13,13,13
107,13,13,13
108,13,13,13
109,10,10,10
110,12,12,12
111,12,12,12
112,12,12,12
113,14,14,14
114,14,14,14
115,12,12,12
116,13,13,13
117,13,13,13
118,15,15,15
119,18,18,18
120,18,18,18
121,21,21,21
122,27,27,27
123,26,26,26
124,26,26,26
125,26,26,26
126,26,26,26
127,24,24,24
128,23,23,23
129,24,24,24
130,23,23,23
131,22,22,22
132,22,22,22
133,21,21,21
134,19,19,19
135,19,19,19
136,19,19,19
137,18,18,18
138,18,18,18
139,22,22,22
140,29,29,29
141,30,30,30
142,34,34,34
143,34,34,34
144,34,34,34
145,34,34,34
146,34,34,34
147,51,51,51
148,51,51,51
149,53,53,53
150,53,53,53
151,53,53,53
152,53,53,53
153,53,53,53
154,53,53,53
155,49,49,49
156,47,47,47
157,47,47,47
158,47,47,47
159,47,47,47
160,42,42,42
161,41,41,41
162,42,42,42
163,42,42,42
164,42,42,42
165,42,42,42
166,42,42,42
167,45,45,45
168,44,44,44
169,44,44,44
170,44,44,44
171,44,44,44
172,41,41,41
173,41,41,41
174,41,41,41
175,40,40,40
176,40,40,40
177,40,40,40
178,38,38,38
179,38,38,38
180,40,40,40
181,40,40,40
182,43,43,43
183,43,43,43
184,45,45,45
185,45,45,45
186,45,45,45
187,47,47,47
188,47,47,47
189,47,47,47
190,47,47,47
191,47,47,47
192,50,50,50
193,50,50,50
194,50,50,50
195,50,50,50
196,50,50,50
197,50,50,50
198,50,50,50
199,50,50,50
200,50,50,50
201,56,56,56
202,56,56,56
203,56,56,56
204,56,56,56
205,59,59,59
206,59,59,59
207,59,59,59
208,59,59,59
209,59,59,59
210,59,59,59
211,59,59,59
212,59,59,59
213,56,56,56
214,56,56,56
215,56,56,56
216,56,56,56
217,56,56,56
218,56,56,56
219,59,59,59
220,61,61,61
221,61,61,61
222,62,62,62
223,62,62,62
224,62,62,62
225,61,61,61
226,61,61,61
227,61,61,61
228,61,61,61
229,59,59,59
230,61,61,61
231,60,60,60
232,62,62,62
233,62,62,62
234,62,62,62
235,62,62,62
236,62,62,62
237,62,62,62
238,62,62,62
239,60,60,60
240,60,60,60
241,60,60,60
242,63,63,63
243,63,63,63
244,63,63,63
245,63,63,63
246,63,63,63
247,60,60,60
248,60,60,60
249,60,60,60
250,60,60,60
251,58,58,58
252,58,58,58
253,61,61,61
254,61,61,61
255,59,59,59
256,60,60,60
257,61,61,61
258,61,61,61
259,61,61,61
260,61,61,61
261,61,61,61
262,61,61,61
263,61,61,61
264,61,61,61
265,61,61,61
266,62,62,62
267,62,62,62
268,63,63,63
269,61,61,61
270,61,61,61
271,61,61,61
272,62,61,61
273,62,62,62
274,62,62,62
275,62,62,62
276,62,62,62
277,62,62,62
278,62,62,62
279,62,62,62
280,62,62,62
281,63,62,62
282,63,63,63
283,63,63,63
