RMSE of SPM,RMSE of baseLine
0.288675134595,0.288675134595
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,6,6,6
1,5,5,5
2,5,5,5
3,4,4,4
4,4,4,4
5,4,4,4
6,4,4,4
7,4,4,4
8,5,5,5
9,5,5,5
10,7,7,7
11,7,7,7
12,7,7,7
13,7,7,7
14,7,7,7
15,7,7,7
16,8,8,8
17,6,6,6
18,7,7,7
19,7,7,7
20,8,8,8
21,8,8,8
22,8,8,8
23,7,7,7
24,8,8,8
25,7,7,7
26,7,7,7
27,6,6,6
28,6,6,6
29,6,6,6
30,7,7,7
31,7,7,7
32,7,7,7
33,5,5,5
34,5,5,5
35,5,5,5
36,5,5,5
37,5,5,5
38,5,5,5
39,5,5,5
40,5,5,5
41,5,5,5
42,5,5,5
43,8,8,8
44,7,7,7
45,6,6,6
46,8,8,8
47,8,8,8
48,8,8,8
49,8,8,8
50,10,10,10
51,9,9,9
52,9,9,9
53,9,9,9
54,9,9,9
55,9,9,9
56,7,7,7
57,6,6,6
58,7,7,7
59,7,7,7
60,7,7,7
61,9,9,9
62,9,9,9
63,11,11,11
64,10,10,10
65,10,10,10
66,10,10,10
67,9,9,9
68,9,9,9
69,9,9,9
70,11,11,11
71,11,11,11
72,11,11,11
73,11,11,11
74,11,11,11
75,18,18,18
76,21,21,21
77,21,21,21
78,21,21,21
79,21,21,21
80,30,30,30
81,30,30,30
82,34,34,34
83,34,34,34
84,38,38,38
85,39,39,39
86,39,39,39
87,39,39,39
88,39,39,39
89,44,44,44
90,44,44,44
91,48,48,48
92,48,48,48
93,48,48,48
94,48,48,48
95,54,54,54
96,56,56,56
97,56,56,56
98,58,58,58
99,58,58,58
100,60,60,60
101,60,60,60
102,61,61,61
103,60,60,60
104,60,60,60
105,60,60,60
106,60,60,60
107,62,62,62
108,62,62,62
109,66,66,66
110,65,65,65
111,65,65,65
112,65,65,65
113,65,65,65
114,64,64,64
115,64,64,64
116,64,64,64
117,64,64,64
118,64,64,64
119,64,64,64
120,64,64,64
121,62,62,62
122,62,62,62
123,62,62,62
124,61,61,61
125,61,61,61
126,61,61,61
127,59,59,59
128,59,59,59
129,59,59,59
130,59,59,59
131,59,59,59
132,59,59,59
133,59,59,59
134,59,59,59
135,59,59,59
136,59,59,59
137,57,57,57
138,57,57,57
139,57,57,57
140,56,56,56
141,53,53,53
142,53,53,53
143,53,53,53
144,53,53,53
145,53,53,53
146,53,53,53
147,53,53,53
148,51,51,51
149,51,51,51
150,51,51,51
151,51,51,51
152,52,52,52
153,52,52,52
154,54,54,54
155,57,57,57
156,57,57,57
157,58,58,58
158,58,58,58
159,59,59,59
160,59,59,59
161,59,59,59
162,59,59,59
163,59,59,59
164,59,59,59
165,59,59,59
166,73,73,73
167,73,73,73
168,75,75,75
169,75,75,75
170,75,75,75
171,75,75,75
172,75,75,75
173,69,69,69
174,69,69,69
175,69,69,69
176,70,70,70
177,70,70,70
178,68,68,68
179,67,67,67
180,67,67,67
181,67,67,67
182,66,66,66
183,66,66,66
184,66,66,66
185,66,66,66
186,66,66,66
187,66,66,66
188,66,66,66
189,67,67,67
190,67,67,67
191,67,67,67
192,66,66,66
193,66,66,66
194,66,66,66
195,66,66,66
196,66,66,66
197,66,66,66
198,66,66,66
199,66,66,66
200,66,66,66
201,66,66,66
202,66,66,66
203,65,65,65
204,67,67,67
205,68,68,68
206,68,68,68
207,68,68,68
208,68,68,68
209,68,68,68
210,67,67,67
211,68,68,68
212,68,68,68
213,68,68,68
214,68,68,68
215,68,68,68
216,67,67,67
217,67,67,67
218,67,67,67
219,67,67,67
220,67,67,67
221,67,67,67
222,67,67,67
223,67,67,67
224,69,69,69
225,69,69,69
226,68,68,68
227,68,68,68
228,68,68,68
229,68,68,68
230,69,69,69
231,69,69,69
232,69,69,69
233,69,69,69
234,69,69,69
235,69,69,69
236,69,69,69
237,69,69,69
238,69,69,69
239,69,69,69
240,71,71,71
241,71,71,71
242,72,72,72
243,72,72,72
244,73,73,73
245,73,73,73
246,72,72,72
247,73,73,73
248,73,73,73
249,72,72,72
250,72,72,72
251,72,72,72
252,72,72,72
253,65,65,65
254,64,64,64
255,64,64,64
256,64,64,64
257,64,64,64
258,61,61,61
259,60,60,60
260,58,58,58
261,58,58,58
262,58,58,58
263,58,58,58
264,58,58,58
265,58,58,58
266,58,58,58
267,58,58,58
268,58,58,58
269,58,58,58
270,58,58,58
271,58,58,58
272,58,58,58
273,58,58,58
274,58,58,58
275,58,58,58
276,58,58,58
277,57,58,58
278,57,57,57
279,57,57,57
280,57,57,57
281,57,57,57
282,57,57,57
283,57,57,57
