RMSE of SPM,RMSE of baseLine
2.30940107676,2.30940107676
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,12,12,12
1,10,10,10
2,10,10,10
3,13,13,13
4,15,15,15
5,13,13,13
6,11,11,11
7,11,11,11
8,11,11,11
9,8,8,8
10,10,10,10
11,11,11,11
12,11,11,11
13,11,11,11
14,11,11,11
15,10,10,10
16,10,10,10
17,10,10,10
18,10,10,10
19,10,10,10
20,10,10,10
21,9,9,9
22,11,11,11
23,9,9,9
24,9,9,9
25,9,9,9
26,9,9,9
27,11,11,11
28,11,11,11
29,12,12,12
30,12,12,12
31,12,12,12
32,14,14,14
33,14,14,14
34,13,13,13
35,14,14,14
36,14,14,14
37,14,14,14
38,8,8,8
39,8,8,8
40,8,8,8
41,8,8,8
42,7,7,7
43,7,7,7
44,9,9,9
45,8,8,8
46,10,10,10
47,10,10,10
48,10,10,10
49,10,10,10
50,10,10,10
51,9,9,9
52,9,9,9
53,9,9,9
54,9,9,9
55,9,9,9
56,9,9,9
57,7,7,7
58,6,6,6
59,6,6,6
60,6,6,6
61,6,6,6
62,8,8,8
63,8,8,8
64,6,6,6
65,6,6,6
66,5,5,5
67,6,6,6
68,6,6,6
69,6,6,6
70,6,6,6
71,6,6,6
72,9,9,9
73,9,9,9
74,9,9,9
75,9,9,9
76,13,13,13
77,13,13,13
78,13,13,13
79,11,11,11
80,11,11,11
81,11,11,11
82,11,11,11
83,12,12,12
84,19,19,19
85,19,19,19
86,19,19,19
87,19,19,19
88,19,19,19
89,6,6,6
90,6,6,6
91,6,6,6
92,6,6,6
93,6,6,6
94,13,13,13
95,13,13,13
96,13,13,13
97,18,18,18
98,18,18,18
99,18,18,18
100,18,18,18
101,18,18,18
102,20,20,20
103,20,20,20
104,20,20,20
105,20,20,20
106,20,20,20
107,20,20,20
108,20,20,20
109,18,18,18
110,18,18,18
111,18,18,18
112,18,18,18
113,23,23,23
114,23,23,23
115,24,24,24
116,24,24,24
117,24,24,24
118,27,27,27
119,30,30,30
120,34,34,34
121,34,34,34
122,35,35,35
123,34,34,34
124,34,34,34
125,34,34,34
126,34,34,34
127,34,34,34
128,34,34,34
129,34,34,34
130,34,34,34
131,35,35,35
132,32,32,32
133,32,32,32
134,32,32,32
135,37,37,37
136,34,34,34
137,34,34,34
138,34,34,34
139,40,40,40
140,40,40,40
141,47,47,47
142,47,47,47
143,47,47,47
144,47,47,47
145,47,47,47
146,47,47,47
147,47,47,47
148,53,53,53
149,53,53,53
150,50,50,50
151,49,49,49
152,49,49,49
153,49,49,49
154,49,49,49
155,49,49,49
156,49,49,49
157,49,49,49
158,49,49,49
159,49,49,49
160,49,49,49
161,49,49,49
162,49,49,49
163,49,49,49
164,49,49,49
165,48,48,48
166,48,48,48
167,48,48,48
168,47,47,47
169,47,47,47
170,46,46,46
171,45,45,45
172,43,43,43
173,43,43,43
174,43,43,43
175,42,42,42
176,43,43,43
177,43,43,43
178,43,43,43
179,43,43,43
180,44,44,44
181,46,46,46
182,46,46,46
183,46,46,46
184,46,46,46
185,46,46,46
186,49,49,49
187,52,52,52
188,52,52,52
189,51,51,51
190,51,51,51
191,51,51,51
192,55,55,55
193,53,53,53
194,53,53,53
195,55,55,55
196,58,58,58
197,59,59,59
198,59,59,59
199,59,59,59
200,63,63,63
201,63,63,63
202,66,66,66
203,66,66,66
204,66,66,66
205,66,66,66
206,66,66,66
207,66,66,66
208,65,65,65
209,68,68,68
210,68,68,68
211,68,68,68
212,68,68,68
213,66,66,66
214,66,66,66
215,69,69,69
216,69,69,69
217,69,69,69
218,69,69,69
219,76,76,76
220,76,76,76
221,76,76,76
222,76,76,76
223,76,76,76
224,76,76,76
225,76,76,76
226,76,76,76
227,73,73,73
228,73,73,73
229,73,73,73
230,73,73,73
231,73,73,73
232,75,75,75
233,76,76,76
234,73,73,73
235,74,74,74
236,74,74,74
237,75,75,75
238,73,73,73
239,73,73,73
240,73,73,73
241,74,74,74
242,72,72,72
243,72,72,72
244,73,73,73
245,73,73,73
246,73,73,73
247,74,74,74
248,74,74,74
249,74,74,74
250,74,74,74
251,75,75,75
252,75,75,75
253,76,76,76
254,74,74,74
255,74,74,74
256,74,74,74
257,74,74,74
258,74,74,74
259,73,73,73
260,73,73,73
261,73,73,73
262,74,74,74
263,74,74,74
264,75,75,75
265,75,75,75
266,76,76,76
267,76,76,76
268,76,76,76
269,80,80,80
270,80,80,80
271,80,80,80
272,80,80,80
273,80,80,80
274,80,80,80
275,80,80,80
276,80,80,80
277,80,80,80
278,72,80,80
279,72,72,72
280,72,72,72
281,72,72,72
282,72,72,72
283,72,72,72
