RMSE of SPM,RMSE of baseLine
1.38443731049,1.38443731049
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,13,13,13
1,13,13,13
2,15,15,15
3,15,15,15
4,14,14,14
5,14,14,14
6,12,12,12
7,12,12,12
8,8,8,8
9,8,8,8
10,8,8,8
11,22,22,22
12,22,22,22
13,7,7,7
14,7,7,7
15,7,7,7
16,7,7,7
17,7,7,7
18,7,7,7
19,7,7,7
20,7,7,7
21,6,6,6
22,5,5,5
23,4,4,4
24,9,9,9
25,14,14,14
26,14,14,14
27,14,14,14
28,18,18,18
29,23,23,23
30,16,16,16
31,16,16,16
32,16,16,16
33,16,16,16
34,16,16,16
35,16,16,16
36,13,13,13
37,13,13,13
38,13,13,13
39,13,13,13
40,13,13,13
41,10,10,10
42,9,9,9
43,9,9,9
44,9,9,9
45,8,8,8
46,8,8,8
47,8,8,8
48,8,8,8
49,8,8,8
50,8,8,8
51,8,8,8
52,8,8,8
53,15,15,15
54,11,11,11
55,11,11,11
56,11,11,11
57,7,7,7
58,7,7,7
59,5,5,5
60,6,6,6
61,6,6,6
62,7,7,7
63,7,7,7
64,7,7,7
65,8,8,8
66,8,8,8
67,7,7,7
68,7,7,7
69,7,7,7
70,8,8,8
71,8,8,8
72,8,8,8
73,8,8,8
74,8,8,8
75,9,9,9
76,10,10,10
77,10,10,10
78,12,12,12
79,13,13,13
80,13,13,13
81,13,13,13
82,13,13,13
83,10,10,10
84,10,10,10
85,10,10,10
86,13,13,13
87,13,13,13
88,13,13,13
89,13,13,13
90,13,13,13
91,13,13,13
92,13,13,13
93,5,5,5
94,6,6,6
95,9,9,9
96,9,9,9
97,9,9,9
98,12,12,12
99,12,12,12
100,12,12,12
101,14,14,14
102,16,16,16
103,16,16,16
104,16,16,16
105,15,15,15
106,15,15,15
107,15,15,15
108,15,15,15
109,14,14,14
110,14,14,14
111,14,14,14
112,14,14,14
113,14,14,14
114,14,14,14
115,14,14,14
116,14,14,14
117,14,14,14
118,17,17,17
119,18,18,18
120,18,18,18
121,18,18,18
122,18,18,18
123,18,18,18
124,29,29,29
125,29,29,29
126,27,27,27
127,27,27,27
128,27,27,27
129,27,27,27
130,28,28,28
131,26,26,26
132,26,26,26
133,24,24,24
134,25,25,25
135,25,25,25
136,25,25,25
137,25,25,25
138,25,25,25
139,25,25,25
140,25,25,25
141,25,25,25
142,25,25,25
143,40,40,40
144,40,40,40
145,40,40,40
146,46,46,46
147,46,46,46
148,46,46,46
149,50,50,50
150,50,50,50
151,50,50,50
152,50,50,50
153,50,50,50
154,50,50,50
155,46,46,46
156,46,46,46
157,46,46,46
158,46,46,46
159,46,46,46
160,46,46,46
161,43,43,43
162,43,43,43
163,44,44,44
164,45,45,45
165,45,45,45
166,45,45,45
167,45,45,45
168,46,46,46
169,47,47,47
170,47,47,47
171,47,47,47
172,47,47,47
173,47,47,47
174,47,47,47
175,42,42,42
176,42,42,42
177,42,42,42
178,42,42,42
179,42,42,42
180,42,42,42
181,42,42,42
182,43,43,43
183,46,46,46
184,46,46,46
185,46,46,46
186,47,47,47
187,47,47,47
188,49,49,49
189,50,50,50
190,50,50,50
191,50,50,50
192,50,50,50
193,50,50,50
194,51,51,51
195,51,51,51
196,52,52,52
197,52,52,52
198,52,52,52
199,57,57,57
200,58,58,58
201,60,60,60
202,60,60,60
203,60,60,60
204,60,60,60
205,60,60,60
206,60,60,60
207,64,64,64
208,64,64,64
209,64,64,64
210,64,64,64
211,64,64,64
212,64,64,64
213,64,64,64
214,64,64,64
215,64,64,64
216,66,66,66
217,66,66,66
218,67,67,67
219,67,67,67
220,67,67,67
221,67,67,67
222,70,70,70
223,70,70,70
224,70,70,70
225,71,71,71
226,71,71,71
227,71,71,71
228,71,71,71
229,71,71,71
230,71,71,71
231,71,71,71
232,71,71,71
233,69,69,69
234,69,69,69
235,71,71,71
236,71,71,71
237,71,71,71
238,71,71,71
239,70,70,70
240,70,70,70
241,70,70,70
242,70,70,70
243,70,70,70
244,70,70,70
245,71,71,71
246,71,71,71
247,73,73,73
248,73,73,73
249,69,69,69
250,70,70,70
251,71,71,71
252,70,70,70
253,70,70,70
254,70,70,70
255,70,70,70
256,70,70,70
257,71,71,71
258,71,71,71
259,71,71,71
260,72,72,72
261,72,72,72
262,72,72,72
263,72,72,72
264,82,82,82
265,74,74,74
266,75,75,75
267,75,75,75
268,72,72,72
269,72,72,72
270,72,72,72
271,72,72,72
272,72,72,72
273,72,72,72
274,72,72,72
275,74,72,72
276,74,74,74
277,73,74,74
278,72,73,73
279,71,72,72
280,71,71,71
281,71,71,71
282,71,71,71
283,67,71,71
