RMSE of SPM,RMSE of baseLine
1.97905701451,1.97905701451
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,11,11,11
1,11,11,11
2,18,18,18
3,18,18,18
4,18,18,18
5,18,18,18
6,18,18,18
7,18,18,18
8,18,18,18
9,18,18,18
10,18,18,18
11,18,18,18
12,18,18,18
13,18,18,18
14,5,5,5
15,5,5,5
16,5,5,5
17,2,2,2
18,2,2,2
19,4,4,4
20,4,4,4
21,4,4,4
22,4,4,4
23,4,4,4
24,4,4,4
25,4,4,4
26,6,6,6
27,6,6,6
28,6,6,6
29,15,15,15
30,15,15,15
31,15,15,15
32,15,15,15
33,12,12,12
34,12,12,12
35,12,12,12
36,12,12,12
37,10,10,10
38,10,10,10
39,10,10,10
40,7,7,7
41,7,7,7
42,7,7,7
43,7,7,7
44,8,8,8
45,9,9,9
46,9,9,9
47,9,9,9
48,8,8,8
49,8,8,8
50,8,8,8
51,8,8,8
52,7,7,7
53,5,5,5
54,5,5,5
55,5,5,5
56,4,4,4
57,13,13,13
58,13,13,13
59,13,13,13
60,3,3,3
61,3,3,3
62,4,4,4
63,4,4,4
64,4,4,4
65,4,4,4
66,4,4,4
67,5,5,5
68,5,5,5
69,4,4,4
70,5,5,5
71,5,5,5
72,5,5,5
73,5,5,5
74,5,5,5
75,7,7,7
76,7,7,7
77,7,7,7
78,7,7,7
79,10,10,10
80,10,10,10
81,9,9,9
82,6,6,6
83,6,6,6
84,6,6,6
85,6,6,6
86,6,6,6
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,2,2,2
93,2,2,2
94,4,4,4
95,4,4,4
96,4,4,4
97,4,4,4
98,9,9,9
99,13,13,13
100,13,13,13
101,13,13,13
102,13,13,13
103,9,9,9
104,9,9,9
105,9,9,9
106,10,10,10
107,10,10,10
108,8,8,8
109,8,8,8
110,8,8,8
111,8,8,8
112,6,6,6
113,6,6,6
114,6,6,6
115,9,9,9
116,15,15,15
117,15,15,15
118,19,19,19
119,19,19,19
120,19,19,19
121,19,19,19
122,19,19,19
123,19,19,19
124,19,19,19
125,19,19,19
126,18,18,18
127,17,17,17
128,18,18,18
129,18,18,18
130,18,18,18
131,18,18,18
132,18,18,18
133,18,18,18
134,18,18,18
135,18,18,18
136,18,18,18
137,23,23,23
138,24,24,24
139,28,28,28
140,32,32,32
141,32,32,32
142,32,32,32
143,40,40,40
144,36,36,36
145,36,36,36
146,36,36,36
147,39,39,39
148,39,39,39
149,39,39,39
150,44,44,44
151,48,48,48
152,44,44,44
153,44,44,44
154,44,44,44
155,44,44,44
156,41,41,41
157,39,39,39
158,38,38,38
159,34,34,34
160,32,32,32
161,32,32,32
162,32,32,32
163,34,34,34
164,33,33,33
165,36,36,36
166,38,38,38
167,38,38,38
168,38,38,38
169,38,38,38
170,38,38,38
171,38,38,38
172,38,38,38
173,38,38,38
174,38,38,38
175,38,38,38
176,39,39,39
177,38,38,38
178,38,38,38
179,38,38,38
180,38,38,38
181,38,38,38
182,39,39,39
183,41,41,41
184,45,45,45
185,45,45,45
186,45,45,45
187,55,55,55
188,59,59,59
189,59,59,59
190,59,59,59
191,59,59,59
192,59,59,59
193,108,108,108
194,108,108,108
195,134,134,134
196,71,71,71
197,57,57,57
198,57,57,57
199,120,120,120
200,203,203,203
201,203,203,203
202,203,203,203
203,203,203,203
204,203,203,203
205,125,125,125
206,125,125,125
207,64,64,64
208,60,60,60
209,60,60,60
210,60,60,60
211,63,63,63
212,63,63,63
213,63,63,63
214,60,60,60
215,60,60,60
216,60,60,60
217,61,61,61
218,61,61,61
219,60,60,60
220,60,60,60
221,60,60,60
222,60,60,60
223,60,60,60
224,60,60,60
225,61,61,61
226,61,61,61
227,61,61,61
228,61,61,61
229,61,61,61
230,61,61,61
231,61,61,61
232,62,62,62
233,63,63,63
234,61,61,61
235,61,61,61
236,60,60,60
237,60,60,60
238,62,62,62
239,61,61,61
240,62,62,62
241,62,62,62
242,62,62,62
243,61,61,61
244,61,61,61
245,61,61,61
246,61,61,61
247,61,61,61
248,61,61,61
249,64,64,64
250,64,64,64
251,64,64,64
252,63,63,63
253,63,63,63
254,63,63,63
255,63,63,63
256,63,63,63
257,62,62,62
258,62,62,62
259,65,65,65
260,65,65,65
261,65,65,65
262,63,63,63
263,63,63,63
264,67,67,67
265,66,66,66
266,66,66,66
267,63,63,63
268,63,63,63
269,62,63,63
270,62,62,62
271,68,62,62
272,65,68,68
273,65,65,65
274,65,65,65
275,64,65,65
276,64,64,64
277,64,64,64
278,64,64,64
279,64,64,64
