RMSE of SPM,RMSE of baseLine
4.76969600708,4.76969600708
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,26,26,26
1,26,26,26
2,26,26,26
3,20,20,20
4,21,21,21
5,21,21,21
6,21,21,21
7,13,13,13
8,13,13,13
9,13,13,13
10,13,13,13
11,6,6,6
12,5,5,5
13,6,6,6
14,6,6,6
15,6,6,6
16,6,6,6
17,3,3,3
18,3,3,3
19,3,3,3
20,2,2,2
21,2,2,2
22,2,2,2
23,1,1,1
24,2,2,2
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,3,3,3
30,3,3,3
31,1,1,1
32,34,34,34
33,36,36,36
34,36,36,36
35,33,33,33
36,35,35,35
37,35,35,35
38,35,35,35
39,12,12,12
40,12,12,12
41,8,8,8
42,11,11,11
43,8,8,8
44,8,8,8
45,4,4,4
46,4,4,4
47,4,4,4
48,18,18,18
49,18,18,18
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,2,2,2
58,2,2,2
59,2,2,2
60,7,7,7
61,7,7,7
62,7,7,7
63,13,13,13
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,1,1,1
69,1,1,1
70,4,4,4
71,4,4,4
72,1,1,1
73,0,0,0
74,7,7,7
75,4,4,4
76,2,2,2
77,2,2,2
78,7,7,7
79,4,4,4
80,4,4,4
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,1,1,1
86,1,1,1
87,1,1,1
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,1,1,1
124,0,0,0
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,0,0,0
131,0,0,0
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,2,2,2
141,2,2,2
142,1,1,1
143,1,1,1
144,0,0,0
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,4,4,4
152,5,5,5
153,2,2,2
154,2,2,2
155,1,1,1
156,2,2,2
157,1,1,1
158,1,1,1
159,1,1,1
160,2,2,2
161,2,2,2
162,3,3,3
163,3,3,3
164,2,2,2
165,1,1,1
166,1,1,1
167,1,1,1
168,1,1,1
169,4,4,4
170,1,1,1
171,1,1,1
172,1,1,1
173,2,2,2
174,2,2,2
175,2,2,2
176,28,28,28
177,28,28,28
178,38,38,38
179,38,38,38
180,38,38,38
181,38,38,38
182,38,38,38
183,14,14,14
184,14,14,14
185,14,14,14
186,14,14,14
187,14,14,14
188,6,6,6
189,5,5,5
190,12,12,12
191,12,12,12
192,12,12,12
193,12,12,12
194,24,24,24
195,24,24,24
196,18,18,18
197,18,18,18
198,25,25,25
199,17,17,17
200,17,17,17
201,17,17,17
202,13,13,13
203,10,10,10
204,10,10,10
205,21,21,21
206,21,21,21
207,21,21,21
208,24,24,24
209,29,29,29
210,29,29,29
211,21,21,21
212,21,21,21
213,9,9,9
214,7,7,7
215,7,7,7
216,7,7,7
217,7,7,7
218,13,13,13
219,16,16,16
220,16,16,16
221,15,15,15
222,15,15,15
223,15,15,15
224,18,18,18
225,21,21,21
226,21,21,21
227,11,11,11
228,12,12,12
229,12,12,12
230,12,12,12
231,12,12,12
232,12,12,12
233,18,18,18
234,18,18,18
235,18,18,18
236,18,18,18
237,18,18,18
238,18,18,18
239,18,18,18
240,13,13,13
241,13,13,13
242,13,13,13
243,18,18,18
244,21,21,21
245,21,21,21
246,21,21,21
247,21,21,21
248,21,21,21
249,21,21,21
250,21,21,21
251,21,21,21
252,23,23,23
253,23,23,23
254,23,23,23
255,26,26,26
256,25,25,25
257,26,26,26
258,26,26,26
259,25,25,25
260,24,24,24
261,24,24,24
262,25,25,25
263,27,27,27
264,27,27,27
265,31,31,31
266,34,34,34
267,34,34,34
268,27,27,27
269,34,34,34
270,40,40,40
271,39,39,39
272,39,39,39
273,39,39,39
274,52,39,39
275,42,52,52
276,42,42,42
277,42,42,42
278,42,42,42
279,42,42,42
280,42,42,42
281,42,42,42
282,40,42,42
283,40,40,40
