RMSE of SPM,RMSE of baseLine
1.22474487139,1.22474487139
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,31,31,31
1,27,27,27
2,28,28,28
3,27,27,27
4,27,27,27
5,25,25,25
6,25,25,25
7,25,25,25
8,25,25,25
9,4,4,4
10,4,4,4
11,4,4,4
12,4,4,4
13,4,4,4
14,4,4,4
15,4,4,4
16,4,4,4
17,4,4,4
18,3,3,3
19,3,3,3
20,3,3,3
21,3,3,3
22,3,3,3
23,3,3,3
24,3,3,3
25,3,3,3
26,3,3,3
27,3,3,3
28,3,3,3
29,2,2,2
30,3,3,3
31,3,3,3
32,3,3,3
33,3,3,3
34,3,3,3
35,2,2,2
36,2,2,2
37,2,2,2
38,2,2,2
39,2,2,2
40,2,2,2
41,2,2,2
42,2,2,2
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,1,1,1
111,1,1,1
112,1,1,1
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,1,1,1
164,1,1,1
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,1,1,1
170,2,2,2
171,1,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,1
178,1,1,1
179,1,1,1
180,1,1,1
181,3,3,3
182,3,3,3
183,2,2,2
184,2,2,2
185,3,3,3
186,3,3,3
187,2,2,2
188,2,2,2
189,2,2,2
190,2,2,2
191,2,2,2
192,1,1,1
193,3,3,3
194,3,3,3
195,2,2,2
196,2,2,2
197,2,2,2
198,1,1,1
199,1,1,1
200,1,1,1
201,2,2,2
202,2,2,2
203,2,2,2
204,2,2,2
205,2,2,2
206,2,2,2
207,2,2,2
208,2,2,2
209,2,2,2
210,2,2,2
211,2,2,2
212,2,2,2
213,4,4,4
214,4,4,4
215,4,4,4
216,4,4,4
217,4,4,4
218,5,5,5
219,7,7,7
220,7,7,7
221,8,8,8
222,8,8,8
223,8,8,8
224,10,10,10
225,10,10,10
226,8,8,8
227,9,9,9
228,8,8,8
229,8,8,8
230,8,8,8
231,5,5,5
232,5,5,5
233,5,5,5
234,5,5,5
235,5,5,5
236,5,5,5
237,5,5,5
238,5,5,5
239,5,5,5
240,6,6,6
241,6,6,6
242,6,6,6
243,5,5,5
244,5,5,5
245,5,5,5
246,5,5,5
247,5,5,5
248,5,5,5
249,5,5,5
250,8,8,8
251,8,8,8
252,8,8,8
253,8,8,8
254,8,8,8
255,7,7,7
256,8,8,8
257,9,9,9
258,11,11,11
259,11,11,11
260,11,11,11
261,11,11,11
262,17,17,17
263,17,17,17
264,21,21,21
265,21,21,21
266,29,29,29
267,29,29,29
268,28,28,28
269,29,29,29
270,31,31,31
271,33,33,33
272,34,33,33
273,34,34,34
274,33,34,34
275,33,33,33
276,33,33,33
277,33,33,33
278,33,33,33
279,33,33,33
280,33,33,33
281,29,33,33
282,29,29,29
283,29,29,29
