RMSE of SPM,RMSE of baseLine
2.25462487641,2.25462487641
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,35,35,35
1,35,35,35
2,38,38,38
3,38,38,38
4,40,40,40
5,40,40,40
6,41,41,41
7,43,43,43
8,44,44,44
9,46,46,46
10,45,45,45
11,44,44,44
12,44,44,44
13,44,44,44
14,44,44,44
15,43,43,43
16,43,43,43
17,42,42,42
18,42,42,42
19,42,42,42
20,40,40,40
21,39,39,39
22,39,39,39
23,35,35,35
24,35,35,35
25,37,37,37
26,37,37,37
27,37,37,37
28,35,35,35
29,30,30,30
30,30,30,30
31,30,30,30
32,23,23,23
33,21,21,21
34,21,21,21
35,20,20,20
36,20,20,20
37,20,20,20
38,20,20,20
39,20,20,20
40,20,20,20
41,20,20,20
42,20,20,20
43,20,20,20
44,20,20,20
45,20,20,20
46,20,20,20
47,20,20,20
48,24,24,24
49,24,24,24
50,24,24,24
51,24,24,24
52,24,24,24
53,33,33,33
54,33,33,33
55,33,33,33
56,34,34,34
57,34,34,34
58,47,47,47
59,47,47,47
60,47,47,47
61,36,36,36
62,36,36,36
63,36,36,36
64,36,36,36
65,34,34,34
66,34,34,34
67,34,34,34
68,34,34,34
69,34,34,34
70,33,33,33
71,33,33,33
72,33,33,33
73,33,33,33
74,33,33,33
75,33,33,33
76,35,35,35
77,35,35,35
78,35,35,35
79,35,35,35
80,36,36,36
81,36,36,36
82,34,34,34
83,34,34,34
84,34,34,34
85,34,34,34
86,34,34,34
87,34,34,34
88,34,34,34
89,34,34,34
90,34,34,34
91,34,34,34
92,34,34,34
93,34,34,34
94,44,44,44
95,44,44,44
96,44,44,44
97,43,43,43
98,43,43,43
99,44,44,44
100,44,44,44
101,44,44,44
102,44,44,44
103,44,44,44
104,44,44,44
105,44,44,44
106,44,44,44
107,49,49,49
108,49,49,49
109,41,41,41
110,37,37,37
111,37,37,37
112,37,37,37
113,37,37,37
114,35,35,35
115,35,35,35
116,36,36,36
117,36,36,36
118,36,36,36
119,34,36,36
120,34,34,34
121,39,34,34
122,35,39,39
123,35,35,35
124,35,35,35
125,39,35,35
126,39,39,39
127,39,39,39
128,39,39,39
