RMSE of SPM,RMSE of baseLine
2.0,1.73205080757
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,49,49,49
1,48,48,48
2,48,48,48
3,48,48,48
4,48,48,48
5,48,48,48
6,48,48,48
7,47,47,47
8,43,43,43
9,41,41,41
10,37,37,37
11,36,36,36
12,36,36,36
13,36,36,36
14,35,35,35
15,35,35,35
16,37,37,37
17,37,37,37
18,36,36,36
19,38,38,38
20,37,37,37
21,41,41,41
22,41,41,41
23,41,41,41
24,42,42,42
25,41,41,41
26,41,41,41
27,26,26,26
28,28,28,28
29,28,28,28
30,30,30,30
31,30,30,30
32,32,32,32
33,32,32,32
34,32,32,32
35,32,32,32
36,32,32,32
37,31,31,31
38,31,31,31
39,29,29,29
40,29,29,29
41,33,33,33
42,33,33,33
43,33,33,33
44,26,26,26
45,20,20,20
46,20,20,20
47,20,20,20
48,19,19,19
49,19,19,19
50,25,25,25
51,29,29,29
52,29,29,29
53,31,31,31
54,31,31,31
55,37,37,37
56,37,37,37
57,38,38,38
58,38,38,38
59,38,38,38
60,40,40,40
61,40,40,40
62,40,40,40
63,36,36,36
64,36,36,36
65,35,35,35
66,34,34,34
67,34,34,34
68,33,33,33
69,33,33,33
70,33,33,33
71,32,32,32
72,32,32,32
73,32,32,32
74,32,32,32
75,32,32,32
76,32,32,32
77,30,30,30
78,29,29,29
79,29,29,29
80,29,29,29
81,30,30,30
82,30,30,30
83,29,29,29
84,29,29,29
85,29,29,29
86,30,30,30
87,30,30,30
88,30,30,30
89,29,29,29
90,29,29,29
91,29,29,29
92,29,29,29
93,29,29,29
94,29,29,29
95,29,29,29
96,31,31,31
97,31,31,31
98,31,31,31
99,31,31,31
100,31,31,31
101,32,32,32
102,32,32,32
103,32,32,32
104,32,32,32
105,32,32,32
106,36,36,36
107,36,36,36
108,36,36,36
109,48,48,48
110,48,48,48
111,48,48,48
112,50,50,50
113,52,52,52
114,52,52,52
115,51,51,51
116,51,51,51
117,51,51,51
118,51,51,51
119,51,51,51
120,52,52,52
121,52,52,52
122,52,52,52
123,50,50,50
124,50,50,50
125,51,51,51
126,51,51,51
127,51,51,51
128,49,49,49
129,50,50,50
130,50,50,50
131,50,50,50
132,50,50,50
133,50,50,50
134,50,50,50
135,50,50,50
136,50,50,50
137,50,50,50
138,47,47,47
139,48,48,48
140,49,49,49
141,49,49,49
142,49,49,49
143,49,49,49
144,49,49,49
145,49,49,49
146,60,60,60
147,62,62,62
148,62,62,62
149,58,58,58
150,58,58,58
151,58,58,58
152,58,58,58
153,60,60,60
154,60,60,60
155,57,57,57
156,57,57,57
157,57,57,57
158,57,57,57
159,57,57,57
160,57,57,57
161,57,57,57
162,52,52,52
163,52,52,52
164,51,51,51
165,49,49,49
166,49,49,49
167,49,49,49
168,49,49,49
169,53,53,53
170,55,55,55
171,57,57,57
172,57,57,57
173,62,62,62
174,62,62,62
175,62,62,62
176,60,60,60
177,60,60,60
178,57,57,57
179,57,57,57
180,57,57,57
181,63,63,63
182,62,62,62
183,59,59,59
184,59,59,59
185,60,60,60
186,60,60,60
187,60,60,60
188,60,60,60
189,60,60,60
190,57,57,57
191,55,55,55
192,55,55,55
193,55,55,55
194,55,55,55
195,55,55,55
196,50,50,50
197,53,53,53
198,53,53,53
199,52,52,52
200,52,52,52
201,52,52,52
202,51,51,51
203,49,49,49
204,49,49,49
205,48,48,48
206,49,49,49
207,50,50,50
208,50,50,50
209,50,50,50
210,49,49,49
211,49,49,49
212,47,47,47
213,47,47,47
214,47,47,47
215,47,47,47
216,49,49,49
217,49,49,49
218,48,48,48
219,48,48,48
220,48,48,48
221,49,49,49
222,51,51,51
223,51,51,51
224,51,51,51
225,51,51,51
226,51,51,51
227,51,51,51
228,51,51,51
229,51,51,51
230,51,51,51
231,49,49,49
232,49,49,49
233,49,49,49
234,47,47,47
235,46,46,46
236,46,46,46
237,48,48,48
238,48,46,48
239,48,48,48
240,49,48,48
241,48,48,49
242,48,47,48
243,48,48,48
244,48,48,48
245,51,48,48
246,51,51,51
247,51,47,51
248,51,47,51
249,46,45,51
