RMSE of SPM,RMSE of baseLine
1.11803398875,0.816496580928
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,25,25,25
1,24,24,24
2,26,26,26
3,27,27,27
4,26,26,26
5,27,27,27
6,26,26,26
7,29,29,29
8,28,28,28
9,31,31,31
10,30,30,30
11,32,32,32
12,28,28,28
13,28,28,28
14,27,27,27
15,27,27,27
16,29,29,29
17,29,29,29
18,27,27,27
19,27,27,27
20,28,28,28
21,27,27,27
22,27,27,27
23,27,27,27
24,27,27,27
25,25,25,25
26,26,26,26
27,26,26,26
28,25,25,25
29,25,25,25
30,24,24,24
31,25,25,25
32,24,24,24
33,24,24,24
34,23,23,23
35,25,25,25
36,25,25,25
37,25,25,25
38,25,25,25
39,25,25,25
40,26,26,26
41,23,23,23
42,25,25,25
43,24,24,24
44,24,24,24
45,25,25,25
46,24,24,24
47,24,24,24
48,24,24,24
49,25,25,25
50,22,22,22
51,22,22,22
52,24,24,24
53,23,23,23
54,26,26,26
55,25,25,25
56,24,24,24
57,22,22,22
58,22,22,22
59,24,24,24
60,20,20,20
61,24,24,24
62,22,22,22
63,22,22,22
64,24,24,24
65,22,22,22
66,20,20,20
67,23,23,23
68,23,23,23
69,23,23,23
70,21,21,21
71,24,24,24
72,23,23,23
73,23,23,23
74,23,23,23
75,24,24,24
76,22,22,22
77,23,23,23
78,22,22,22
79,23,23,23
80,22,22,22
81,24,24,24
82,22,22,22
83,24,24,24
84,23,23,23
85,22,22,22
86,23,23,23
87,22,22,22
88,24,24,24
89,25,25,25
90,24,24,24
91,24,24,24
92,23,23,23
93,22,22,22
94,21,21,21
95,21,21,21
96,20,20,20
97,20,20,20
98,19,19,19
99,20,20,20
100,20,20,20
101,20,20,20
102,21,21,21
103,19,19,19
104,18,18,18
105,20,20,20
106,20,20,20
107,22,20,20
108,21,23,22
109,20,22,21
110,20,21,20
111,21,21,20
112,21,22,21
113,21,21,21
114,20,21,21
115,20,20,20
116,20,20,20
117,20,20,20
