RMSE of SPM,RMSE of baseLine
2.38047614285,0.912870929175
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,27,27,27
1,27,27,27
2,27,27,27
3,29,29,29
4,28,28,28
5,28,28,28
6,28,28,28
7,29,29,29
8,29,29,29
9,23,23,23
10,22,22,22
11,22,22,22
12,22,22,22
13,22,22,22
14,22,22,22
15,22,22,22
16,22,22,22
17,19,19,19
18,20,20,20
19,20,20,20
20,20,20,20
21,20,20,20
22,22,22,22
23,22,22,22
24,22,22,22
25,22,22,22
26,22,22,22
27,28,28,28
28,28,28,28
29,28,28,28
30,28,28,28
31,28,28,28
32,25,25,25
33,25,25,25
34,26,26,26
35,26,26,26
36,25,25,25
37,28,28,28
38,28,28,28
39,28,28,28
40,21,21,21
41,21,21,21
42,23,23,23
43,23,23,23
44,23,23,23
45,23,23,23
46,23,23,23
47,23,23,23
48,23,23,23
49,23,23,23
50,23,23,23
51,26,26,26
52,29,29,29
53,29,29,29
54,29,29,29
55,29,29,29
56,29,29,29
57,29,29,29
58,29,29,29
59,29,29,29
60,29,29,29
61,32,32,32
62,32,32,32
63,32,32,32
64,32,32,32
65,32,32,32
66,32,32,32
67,32,32,32
68,32,32,32
69,30,30,30
70,30,30,30
71,30,30,30
72,29,29,29
73,29,29,29
74,28,28,28
75,28,28,28
76,28,28,28
77,30,30,30
78,30,30,30
79,30,30,30
80,30,30,30
81,30,30,30
82,30,30,30
83,30,30,30
84,29,29,29
85,29,29,29
86,29,29,29
87,29,29,29
88,29,29,29
89,29,29,29
90,29,29,29
91,29,29,29
92,29,29,29
93,27,27,27
94,27,27,27
95,27,27,27
96,27,27,27
97,27,27,27
98,28,28,28
99,31,31,31
100,31,31,31
101,31,31,31
102,31,31,31
103,28,28,28
104,30,30,30
105,29,29,29
106,29,29,29
107,29,29,29
108,29,29,29
109,31,31,31
110,33,33,33
111,36,36,36
112,36,36,36
113,36,36,36
114,32,32,32
115,32,32,32
116,32,32,32
117,33,33,33
118,33,33,33
119,33,33,33
120,33,33,33
121,33,33,33
122,32,32,32
123,34,34,34
124,32,32,32
125,33,33,33
126,33,33,33
127,31,31,31
128,31,31,31
129,31,31,31
130,31,31,31
131,31,31,31
132,34,34,34
133,34,34,34
134,34,34,34
135,33,33,33
136,33,33,33
137,33,33,33
138,32,32,32
139,32,32,32
140,32,32,32
141,32,32,32
142,32,32,32
143,34,34,34
144,34,34,34
145,34,34,34
146,33,33,33
147,32,32,32
148,32,32,32
149,32,32,32
150,34,34,34
151,34,34,34
152,34,34,34
153,34,34,34
154,36,36,36
155,34,34,34
156,34,34,34
157,34,34,34
158,34,34,34
159,34,34,34
160,34,34,34
161,34,34,34
162,35,35,35
163,36,36,36
164,36,36,36
165,36,36,36
166,36,36,36
167,36,36,36
168,34,34,34
169,36,36,36
170,36,36,36
171,36,36,36
172,36,36,36
173,36,36,36
174,36,36,36
175,36,36,36
176,36,36,36
177,36,36,36
178,36,36,36
179,36,36,36
180,36,36,36
181,36,36,36
182,36,36,36
183,36,36,36
184,36,36,36
185,35,35,35
186,38,38,38
187,37,37,37
188,37,37,37
189,37,37,37
190,37,37,37
191,37,37,37
192,37,37,37
193,37,37,37
194,38,38,38
195,38,38,38
196,38,38,38
197,38,38,38
198,36,36,36
199,36,36,36
200,36,36,36
201,37,37,37
202,37,37,37
203,37,37,37
204,37,37,37
205,37,37,37
206,37,37,37
207,37,37,37
208,37,37,37
209,36,36,36
210,36,36,36
211,36,36,36
212,36,36,36
213,36,36,36
214,35,35,35
215,35,35,35
216,36,36,36
217,35,35,35
218,35,35,35
219,35,35,35
220,35,35,35
221,37,37,37
222,37,37,37
223,37,37,37
224,37,37,37
225,37,37,37
226,37,37,37
227,37,37,37
228,37,37,37
229,35,35,35
230,35,35,35
231,35,35,35
232,35,35,35
233,35,35,35
234,35,35,35
235,35,35,35
236,34,34,34
237,33,33,33
238,33,40,33
239,33,35,33
240,33,35,33
241,34,34,33
242,34,36,34
243,34,35,34
244,34,35,34
245,34,35,34
246,37,35,34
247,37,37,37
248,37,37,37
249,37,37,37
