RMSE of SPM,RMSE of baseLine
1.15470053838,0.707106781187
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,25,25,25
1,25,25,25
2,25,25,25
3,25,25,25
4,25,25,25
5,25,25,25
6,35,35,35
7,35,35,35
8,22,22,22
9,28,28,28
10,29,29,29
11,29,29,29
12,29,29,29
13,29,29,29
14,29,29,29
15,29,29,29
16,29,29,29
17,29,29,29
18,33,33,33
19,33,33,33
20,33,33,33
21,33,33,33
22,33,33,33
23,33,33,33
24,31,31,31
25,31,31,31
26,31,31,31
27,31,31,31
28,32,32,32
29,32,32,32
30,32,32,32
31,32,32,32
32,32,32,32
33,32,32,32
34,32,32,32
35,34,34,34
36,32,32,32
37,32,32,32
38,32,32,32
39,32,32,32
40,32,32,32
41,34,34,34
42,34,34,34
43,34,34,34
44,34,34,34
45,33,33,33
46,33,33,33
47,33,33,33
48,33,33,33
49,33,33,33
50,31,31,31
51,31,31,31
52,30,30,30
53,30,30,30
54,30,30,30
55,30,30,30
56,30,30,30
57,30,30,30
58,30,30,30
59,30,30,30
60,30,30,30
61,30,30,30
62,30,30,30
63,30,30,30
64,29,29,29
65,29,29,29
66,29,29,29
67,29,29,29
68,30,30,30
69,30,30,30
70,30,30,30
71,30,30,30
72,29,29,29
73,29,29,29
74,29,29,29
75,29,29,29
76,29,29,29
77,29,29,29
78,29,29,29
79,25,25,25
80,26,26,26
81,28,28,28
82,29,29,29
83,30,30,30
84,30,30,30
85,29,29,29
86,30,30,30
87,31,31,31
88,33,33,33
89,36,36,36
90,38,38,38
91,38,38,38
92,36,36,36
93,36,36,36
94,40,40,40
95,40,40,40
96,40,40,40
97,40,40,40
98,42,42,42
99,41,41,41
100,42,42,42
101,42,42,42
102,42,42,42
103,42,42,42
104,42,42,42
105,42,42,42
106,42,42,42
107,42,42,42
108,42,42,42
109,42,42,42
110,42,42,42
111,42,42,42
112,45,45,45
113,45,45,45
114,44,44,44
115,44,44,44
116,44,44,44
117,44,44,44
118,44,44,44
119,44,44,44
120,44,44,44
121,44,44,44
122,44,44,44
123,44,44,44
124,45,45,45
125,45,45,45
126,45,45,45
127,45,45,45
128,45,45,45
129,44,44,44
130,44,44,44
131,44,44,44
132,44,44,44
133,44,44,44
134,44,44,44
135,43,43,43
136,44,44,44
137,44,44,44
138,44,44,44
139,44,44,44
140,44,44,44
141,44,44,44
142,43,43,43
143,43,43,43
144,43,43,43
145,43,43,43
146,45,45,45
147,44,44,44
148,44,44,44
149,44,44,44
150,44,44,44
151,44,44,44
152,45,45,45
153,45,45,45
154,45,45,45
155,45,45,45
156,45,45,45
157,45,45,45
158,45,45,45
159,45,45,45
160,45,45,45
161,45,45,45
162,45,45,45
163,45,45,45
164,43,43,43
165,44,44,44
166,43,43,43
167,42,42,42
168,42,42,42
169,42,42,42
170,42,42,42
171,41,41,41
172,41,41,41
173,41,41,41
174,42,42,42
175,41,41,41
176,41,41,41
177,41,41,41
178,41,41,41
179,41,41,41
180,41,41,41
181,41,41,41
182,39,39,39
183,39,39,39
184,38,38,38
185,38,38,38
186,38,38,38
187,38,38,38
188,39,39,39
189,39,39,39
190,39,39,39
191,39,39,39
192,41,41,41
193,43,43,43
194,43,43,43
195,43,43,43
196,43,43,43
197,43,43,43
198,43,43,43
199,41,41,41
200,41,41,41
201,41,41,41
202,42,42,42
203,44,44,44
204,44,44,44
205,44,44,44
206,47,47,47
207,47,47,47
208,47,47,47
209,47,47,47
210,47,47,47
211,47,47,47
212,47,47,47
213,47,47,47
214,47,47,47
215,47,47,47
216,47,47,47
217,47,47,47
218,47,47,47
219,48,48,48
220,48,48,48
221,48,48,48
222,48,48,48
223,48,48,48
224,48,48,48
225,47,47,47
226,47,47,47
227,47,47,47
228,47,47,47
229,47,47,47
230,47,47,47
231,47,47,47
232,47,47,47
233,47,47,47
234,46,46,46
235,46,46,46
236,46,46,46
237,46,43,46
238,46,46,46
239,46,46,46
240,44,46,46
241,44,44,44
242,43,44,44
243,43,43,43
244,43,43,43
245,43,43,43
246,44,43,43
247,44,44,44
248,44,43,44
