RMSE of SPM,RMSE of baseLine
2.16024689947,2.44948974278
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,32,32,32
1,32,32,32
2,24,24,24
3,22,22,22
4,20,20,20
5,20,20,20
6,19,19,19
7,19,19,19
8,19,19,19
9,19,19,19
10,21,21,21
11,21,21,21
12,21,21,21
13,21,21,21
14,21,21,21
15,27,27,27
16,27,27,27
17,27,27,27
18,28,28,28
19,28,28,28
20,29,29,29
21,28,28,28
22,28,28,28
23,28,28,28
24,29,29,29
25,29,29,29
26,29,29,29
27,25,25,25
28,25,25,25
29,22,22,22
30,22,22,22
31,22,22,22
32,22,22,22
33,22,22,22
34,22,22,22
35,24,24,24
36,24,24,24
37,26,26,26
38,24,24,24
39,25,25,25
40,25,25,25
41,27,27,27
42,27,27,27
43,27,27,27
44,27,27,27
45,29,29,29
46,29,29,29
47,29,29,29
48,29,29,29
49,29,29,29
50,30,30,30
51,31,31,31
52,31,31,31
53,31,31,31
54,31,31,31
55,31,31,31
56,31,31,31
57,31,31,31
58,31,31,31
59,32,32,32
60,32,32,32
61,32,32,32
62,33,33,33
63,32,32,32
64,32,32,32
65,32,32,32
66,31,31,31
67,31,31,31
68,31,31,31
69,31,31,31
70,31,31,31
71,30,30,30
72,30,30,30
73,30,30,30
74,31,31,31
75,31,31,31
76,31,31,31
77,31,31,31
78,31,31,31
79,30,30,30
80,30,30,30
81,30,30,30
82,29,29,29
83,29,29,29
84,29,29,29
85,29,29,29
86,29,29,29
87,29,29,29
88,29,29,29
89,30,30,30
90,30,30,30
91,30,30,30
92,30,30,30
93,30,30,30
94,32,32,32
95,32,32,32
96,32,32,32
97,32,32,32
98,32,32,32
99,33,33,33
100,33,33,33
101,33,33,33
102,33,33,33
103,33,33,33
104,33,33,33
105,33,33,33
106,33,33,33
107,33,33,33
108,33,33,33
109,33,33,33
110,33,33,33
111,35,35,35
112,35,35,35
113,35,35,35
114,38,38,38
115,38,38,38
116,38,38,38
117,40,40,40
118,39,39,39
119,39,39,39
120,39,39,39
121,38,38,38
122,38,38,38
123,38,38,38
124,38,38,38
125,38,38,38
126,38,38,38
127,39,39,39
128,39,39,39
129,39,39,39
130,38,38,38
131,38,38,38
132,38,38,38
133,38,38,38
134,38,38,38
135,38,38,38
136,38,38,38
137,43,43,43
138,43,43,43
139,43,43,43
140,43,43,43
141,43,43,43
142,43,43,43
143,42,42,42
144,42,42,42
145,41,41,41
146,41,41,41
147,41,41,41
148,41,41,41
149,41,41,41
150,41,41,41
151,41,41,41
152,39,39,39
153,39,39,39
154,39,39,39
155,39,39,39
156,42,42,42
157,42,42,42
158,42,42,42
159,42,42,42
160,42,42,42
161,42,42,42
162,46,46,46
163,46,46,46
164,46,46,46
165,46,46,46
166,46,46,46
167,48,48,48
168,48,48,48
169,48,48,48
170,48,48,48
171,48,48,48
172,47,47,47
173,47,47,47
174,47,47,47
175,47,47,47
176,47,47,47
177,49,49,49
178,49,49,49
179,48,48,48
180,47,47,47
181,49,49,49
182,49,49,49
183,49,49,49
184,49,49,49
185,49,49,49
186,49,49,49
187,47,47,47
188,47,47,47
189,47,47,47
190,47,47,47
191,46,46,46
192,47,47,47
193,46,46,46
194,47,47,47
195,47,47,47
196,45,45,45
197,45,45,45
198,45,45,45
199,49,49,49
200,48,48,48
201,48,48,48
202,48,48,48
203,48,48,48
204,48,48,48
205,48,48,48
206,48,48,48
207,48,48,48
208,48,48,48
209,48,48,48
210,48,48,48
211,48,48,48
212,48,48,48
213,48,48,48
214,48,48,48
215,48,48,48
216,48,48,48
217,48,48,48
218,48,48,48
219,48,48,48
220,48,48,48
221,47,47,47
222,46,46,46
223,45,45,45
224,47,47,47
225,47,47,47
226,47,47,47
227,47,47,47
228,47,47,47
229,47,47,47
230,47,47,47
231,46,46,46
232,46,46,46
233,46,46,46
234,41,41,41
235,41,41,41
236,44,44,44
237,44,44,44
238,48,48,44
239,48,48,48
240,49,48,48
241,47,49,49
242,42,47,47
243,42,42,42
244,47,42,42
245,47,47,47
246,47,47,47
247,48,47,47
248,48,48,48
249,48,48,48
