RMSE of SPM,RMSE of baseLine
0.707106781187,0.5
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,15,15,15
1,15,15,15
2,15,15,15
3,15,15,15
4,12,12,12
5,13,13,13
6,13,13,13
7,13,13,13
8,13,13,13
9,13,13,13
10,13,13,13
11,26,26,26
12,26,26,26
13,26,26,26
14,25,25,25
15,25,25,25
16,25,25,25
17,25,25,25
18,29,29,29
19,29,29,29
20,31,31,31
21,29,29,29
22,29,29,29
23,29,29,29
24,30,30,30
25,31,31,31
26,29,29,29
27,29,29,29
28,31,31,31
29,31,31,31
30,32,32,32
31,32,32,32
32,31,31,31
33,32,32,32
34,32,32,32
35,31,31,31
36,31,31,31
37,31,31,31
38,32,32,32
39,32,32,32
40,30,30,30
41,30,30,30
42,30,30,30
43,30,30,30
44,30,30,30
45,30,30,30
46,30,30,30
47,30,30,30
48,30,30,30
49,30,30,30
50,26,26,26
51,26,26,26
52,27,27,27
53,28,28,28
54,27,27,27
55,27,27,27
56,28,28,28
57,28,28,28
58,28,28,28
59,27,27,27
60,27,27,27
61,27,27,27
62,28,28,28
63,28,28,28
64,28,28,28
65,27,27,27
66,27,27,27
67,26,26,26
68,26,26,26
69,24,24,24
70,24,24,24
71,24,24,24
72,23,23,23
73,23,23,23
74,23,23,23
75,23,23,23
76,23,23,23
77,23,23,23
78,23,23,23
79,23,23,23
80,23,23,23
81,23,23,23
82,23,23,23
83,26,26,26
84,26,26,26
85,26,26,26
86,31,31,31
87,33,33,33
88,33,33,33
89,34,34,34
90,34,34,34
91,34,34,34
92,35,35,35
93,35,35,35
94,35,35,35
95,39,39,39
96,40,40,40
97,40,40,40
98,40,40,40
99,40,40,40
100,42,42,42
101,42,42,42
102,42,42,42
103,42,42,42
104,43,43,43
105,43,43,43
106,44,44,44
107,45,45,45
108,45,45,45
109,45,45,45
110,45,45,45
111,45,45,45
112,45,45,45
113,45,45,45
114,45,45,45
115,45,45,45
116,45,45,45
117,45,45,45
118,44,44,44
119,45,45,45
120,45,45,45
121,45,45,45
122,45,45,45
123,45,45,45
124,45,45,45
125,45,45,45
126,45,45,45
127,45,45,45
128,45,45,45
129,43,43,43
130,43,43,43
131,43,43,43
132,44,44,44
133,44,44,44
134,44,44,44
135,44,44,44
136,44,44,44
137,44,44,44
138,44,44,44
139,44,44,44
140,44,44,44
141,44,44,44
142,44,44,44
143,44,44,44
144,44,44,44
145,45,45,45
146,45,45,45
147,45,45,45
148,45,45,45
149,45,45,45
150,45,45,45
151,45,45,45
152,45,45,45
153,45,45,45
154,45,45,45
155,45,45,45
156,45,45,45
157,45,45,45
158,45,45,45
159,44,44,44
160,44,44,44
161,44,44,44
162,44,44,44
163,43,43,43
164,43,43,43
165,43,43,43
166,42,42,42
167,42,42,42
168,42,42,42
169,42,42,42
170,42,42,42
171,41,41,41
172,41,41,41
173,41,41,41
174,41,41,41
175,41,41,41
176,41,41,41
177,41,41,41
178,40,40,40
179,40,40,40
180,40,40,40
181,41,41,41
182,40,40,40
183,41,41,41
184,41,41,41
185,42,42,42
186,42,42,42
187,42,42,42
188,41,41,41
189,40,40,40
190,40,40,40
191,41,41,41
192,41,41,41
193,44,44,44
194,44,44,44
195,44,44,44
196,44,44,44
197,44,44,44
198,44,44,44
199,44,44,44
200,43,43,43
201,44,44,44
202,44,44,44
203,44,44,44
204,44,44,44
205,44,44,44
206,44,44,44
207,44,44,44
208,48,48,48
209,48,48,48
210,48,48,48
211,48,48,48
212,48,48,48
213,48,48,48
214,48,48,48
215,48,48,48
216,48,48,48
217,48,48,48
218,48,48,48
219,48,48,48
220,48,48,48
221,49,49,49
222,49,49,49
223,49,49,49
224,49,49,49
225,50,50,50
226,50,50,50
227,49,49,49
228,49,49,49
229,49,49,49
230,49,49,49
231,48,46,49
232,48,48,48
233,48,48,48
234,48,48,48
235,48,48,48
236,48,48,48
237,48,48,48
238,48,48,48
239,48,48,48
240,47,48,48
241,47,47,47
242,46,47,47
