RMSE of SPM,RMSE of baseLine
2.16024689947,1.52752523165
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,28,28,28
1,27,27,27
2,27,27,27
3,27,27,27
4,27,27,27
5,27,27,27
6,27,27,27
7,27,27,27
8,27,27,27
9,28,28,28
10,28,28,28
11,28,28,28
12,28,28,28
13,28,28,28
14,31,31,31
15,31,31,31
16,31,31,31
17,30,30,30
18,30,30,30
19,30,30,30
20,30,30,30
21,30,30,30
22,31,31,31
23,31,31,31
24,30,30,30
25,30,30,30
26,29,29,29
27,28,28,28
28,26,26,26
29,26,26,26
30,26,26,26
31,28,28,28
32,31,31,31
33,31,31,31
34,31,31,31
35,31,31,31
36,32,32,32
37,32,32,32
38,33,33,33
39,33,33,33
40,33,33,33
41,33,33,33
42,33,33,33
43,34,34,34
44,34,34,34
45,34,34,34
46,34,34,34
47,34,34,34
48,34,34,34
49,34,34,34
50,34,34,34
51,34,34,34
52,34,34,34
53,34,34,34
54,34,34,34
55,34,34,34
56,34,34,34
57,37,37,37
58,36,36,36
59,36,36,36
60,36,36,36
61,36,36,36
62,36,36,36
63,36,36,36
64,36,36,36
65,36,36,36
66,35,35,35
67,35,35,35
68,36,36,36
69,35,35,35
70,35,35,35
71,35,35,35
72,35,35,35
73,35,35,35
74,34,34,34
75,34,34,34
76,35,35,35
77,35,35,35
78,35,35,35
79,35,35,35
80,34,34,34
81,34,34,34
82,34,34,34
83,35,35,35
84,35,35,35
85,35,35,35
86,35,35,35
87,35,35,35
88,35,35,35
89,35,35,35
90,35,35,35
91,35,35,35
92,35,35,35
93,35,35,35
94,37,37,37
95,37,37,37
96,37,37,37
97,37,37,37
98,35,35,35
99,35,35,35
100,36,36,36
101,36,36,36
102,36,36,36
103,36,36,36
104,36,36,36
105,36,36,36
106,36,36,36
107,36,36,36
108,39,39,39
109,39,39,39
110,39,39,39
111,38,38,38
112,38,38,38
113,38,38,38
114,39,39,39
115,39,39,39
116,39,39,39
117,39,39,39
118,39,39,39
119,39,39,39
120,39,39,39
121,39,39,39
122,39,39,39
123,39,39,39
124,39,39,39
125,39,39,39
126,39,39,39
127,40,40,40
128,40,40,40
129,40,40,40
130,40,40,40
131,40,40,40
132,40,40,40
133,40,40,40
134,40,40,40
135,40,40,40
136,40,40,40
137,40,40,40
138,40,40,40
139,43,43,43
140,46,46,46
141,46,46,46
142,46,46,46
143,46,46,46
144,46,46,46
145,51,51,51
146,51,51,51
147,51,51,51
148,48,48,48
149,48,48,48
150,48,48,48
151,48,48,48
152,48,48,48
153,46,46,46
154,46,46,46
155,46,46,46
156,46,46,46
157,48,48,48
158,48,48,48
159,48,48,48
160,48,48,48
161,48,48,48
162,48,48,48
163,39,39,39
164,39,39,39
165,39,39,39
166,39,39,39
167,39,39,39
168,39,39,39
169,38,38,38
170,37,37,37
171,37,37,37
172,37,37,37
173,37,37,37
174,36,36,36
175,36,36,36
176,36,36,36
177,36,36,36
178,36,36,36
179,36,36,36
180,36,36,36
181,37,37,37
182,37,37,37
183,37,37,37
184,37,37,37
185,39,39,39
186,39,39,39
187,39,39,39
188,40,40,40
189,40,40,40
190,40,40,40
191,40,40,40
192,39,39,39
193,39,39,39
194,38,38,38
195,39,39,39
196,40,40,40
197,41,41,41
198,42,42,42
199,42,42,42
200,42,42,42
201,41,41,41
202,41,41,41
203,41,41,41
204,41,41,41
205,38,38,38
206,38,38,38
207,44,44,44
208,43,43,43
209,40,40,40
210,38,38,38
211,38,38,38
212,36,36,36
213,35,35,35
214,35,35,35
215,35,35,35
216,35,35,35
217,35,35,35
218,36,36,36
219,36,36,36
220,36,36,36
221,35,35,35
222,35,35,35
223,35,35,35
224,35,35,35
225,35,35,35
226,37,37,37
227,37,37,37
228,37,37,37
229,37,37,37
230,37,37,37
231,37,37,37
232,37,37,37
233,35,35,35
234,35,35,35
235,35,35,35
236,36,36,36
237,36,36,36
238,36,42,36
239,35,36,36
240,36,35,35
241,36,36,36
242,36,36,36
243,37,36,36
244,37,37,37
245,37,36,37
246,42,38,37
247,42,42,42
248,42,42,42
249,42,42,42
