RMSE of SPM,RMSE of baseLine
1.87082869339,0.408248290464
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,34,34,34
1,34,34,34
2,27,27,27
3,27,27,27
4,27,27,27
5,24,24,24
6,25,25,25
7,21,21,21
8,23,23,23
9,23,23,23
10,28,28,28
11,28,28,28
12,28,28,28
13,28,28,28
14,28,28,28
15,28,28,28
16,28,28,28
17,28,28,28
18,31,31,31
19,31,31,31
20,31,31,31
21,31,31,31
22,31,31,31
23,31,31,31
24,31,31,31
25,31,31,31
26,31,31,31
27,29,29,29
28,29,29,29
29,29,29,29
30,29,29,29
31,25,25,25
32,26,26,26
33,26,26,26
34,26,26,26
35,26,26,26
36,28,28,28
37,28,28,28
38,28,28,28
39,28,28,28
40,29,29,29
41,29,29,29
42,29,29,29
43,29,29,29
44,29,29,29
45,29,29,29
46,29,29,29
47,29,29,29
48,32,32,32
49,32,32,32
50,33,33,33
51,33,33,33
52,33,33,33
53,33,33,33
54,34,34,34
55,34,34,34
56,34,34,34
57,34,34,34
58,34,34,34
59,35,35,35
60,34,34,34
61,34,34,34
62,34,34,34
63,34,34,34
64,34,34,34
65,34,34,34
66,34,34,34
67,34,34,34
68,34,34,34
69,34,34,34
70,33,33,33
71,33,33,33
72,33,33,33
73,33,33,33
74,33,33,33
75,33,33,33
76,33,33,33
77,33,33,33
78,33,33,33
79,33,33,33
80,33,33,33
81,33,33,33
82,32,32,32
83,32,32,32
84,32,32,32
85,32,32,32
86,32,32,32
87,32,32,32
88,32,32,32
89,32,32,32
90,31,31,31
91,31,31,31
92,31,31,31
93,32,32,32
94,32,32,32
95,32,32,32
96,32,32,32
97,32,32,32
98,32,32,32
99,32,32,32
100,32,32,32
101,32,32,32
102,33,33,33
103,33,33,33
104,33,33,33
105,34,34,34
106,34,34,34
107,34,34,34
108,35,35,35
109,35,35,35
110,35,35,35
111,36,36,36
112,36,36,36
113,40,40,40
114,40,40,40
115,40,40,40
116,40,40,40
117,40,40,40
118,40,40,40
119,38,38,38
120,39,39,39
121,39,39,39
122,39,39,39
123,39,39,39
124,39,39,39
125,39,39,39
126,39,39,39
127,38,38,38
128,39,39,39
129,39,39,39
130,39,39,39
131,39,39,39
132,42,42,42
133,43,43,43
134,43,43,43
135,43,43,43
136,43,43,43
137,43,43,43
138,42,42,42
139,42,42,42
140,41,41,41
141,41,41,41
142,41,41,41
143,42,42,42
144,42,42,42
145,40,40,40
146,41,41,41
147,41,41,41
148,41,41,41
149,41,41,41
150,41,41,41
151,41,41,41
152,41,41,41
153,41,41,41
154,44,44,44
155,44,44,44
156,44,44,44
157,44,44,44
158,44,44,44
159,44,44,44
160,44,44,44
161,44,44,44
162,44,44,44
163,44,44,44
164,44,44,44
165,44,44,44
166,44,44,44
167,43,43,43
168,43,43,43
169,43,43,43
170,43,43,43
171,43,43,43
172,43,43,43
173,43,43,43
174,43,43,43
175,45,45,45
176,45,45,45
177,45,45,45
178,45,45,45
179,46,46,46
180,45,45,45
181,46,46,46
182,45,45,45
183,45,45,45
184,45,45,45
185,45,45,45
186,45,45,45
187,46,46,46
188,46,46,46
189,46,46,46
190,46,46,46
191,46,46,46
192,47,47,47
193,46,46,46
194,46,46,46
195,46,46,46
196,46,46,46
197,45,45,45
198,45,45,45
199,45,45,45
200,45,45,45
201,45,45,45
202,45,45,45
203,45,45,45
204,45,45,45
205,45,45,45
206,44,44,44
207,44,44,44
208,44,44,44
209,44,44,44
210,46,46,46
211,46,46,46
212,48,48,48
213,48,48,48
214,48,48,48
215,47,47,47
216,47,47,47
217,47,47,47
218,47,47,47
219,47,47,47
220,42,42,42
221,42,42,42
222,42,42,42
223,42,42,42
224,46,46,46
225,46,46,46
226,46,46,46
227,46,46,46
228,46,46,46
229,44,44,44
230,44,44,44
231,36,36,36
232,36,36,36
233,36,36,36
234,36,36,36
235,36,36,36
236,36,36,36
237,37,37,37
238,38,39,37
239,38,41,38
240,38,42,38
241,38,41,38
242,38,40,38
243,39,40,38
244,39,40,39
245,39,40,39
246,39,39,39
247,39,39,39
248,39,39,39
249,39,39,39
