RMSE of SPM,RMSE of baseLine
5.38516480713,3.86221007542
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,47,47,47
1,47,47,47
2,47,47,47
3,47,47,47
4,47,47,47
5,47,47,47
6,47,47,47
7,45,45,45
8,45,45,45
9,46,46,46
10,46,46,46
11,47,47,47
12,47,47,47
13,49,49,49
14,49,49,49
15,49,49,49
16,49,49,49
17,43,43,43
18,42,42,42
19,41,41,41
20,41,41,41
21,41,41,41
22,41,41,41
23,41,41,41
24,41,41,41
25,41,41,41
26,42,42,42
27,42,42,42
28,44,44,44
29,45,45,45
30,46,46,46
31,40,40,40
32,40,40,40
33,40,40,40
34,40,40,40
35,40,40,40
36,40,40,40
37,40,40,40
38,27,27,27
39,30,30,30
40,30,30,30
41,30,30,30
42,30,30,30
43,30,30,30
44,30,30,30
45,31,31,31
46,31,31,31
47,31,31,31
48,31,31,31
49,31,31,31
50,33,33,33
51,33,33,33
52,33,33,33
53,33,33,33
54,35,35,35
55,35,35,35
56,35,35,35
57,35,35,35
58,35,35,35
59,35,35,35
60,36,36,36
61,36,36,36
62,36,36,36
63,36,36,36
64,37,37,37
65,36,36,36
66,36,36,36
67,36,36,36
68,36,36,36
69,36,36,36
70,35,35,35
71,35,35,35
72,35,35,35
73,37,37,37
74,37,37,37
75,37,37,37
76,36,36,36
77,36,36,36
78,35,35,35
79,36,36,36
80,36,36,36
81,36,36,36
82,36,36,36
83,36,36,36
84,35,35,35
85,36,36,36
86,36,36,36
87,36,36,36
88,34,34,34
89,34,34,34
90,35,35,35
91,35,35,35
92,35,35,35
93,35,35,35
94,37,37,37
95,35,35,35
96,35,35,35
97,35,35,35
98,35,35,35
99,35,35,35
100,35,35,35
101,35,35,35
102,35,35,35
103,35,35,35
104,35,35,35
105,35,35,35
106,35,35,35
107,35,35,35
108,35,35,35
109,35,35,35
110,35,35,35
111,35,35,35
112,35,35,35
113,35,35,35
114,35,35,35
115,35,35,35
116,35,35,35
117,35,35,35
118,35,35,35
119,35,35,35
120,35,35,35
121,38,38,38
122,38,38,38
123,38,38,38
124,59,59,59
125,59,59,59
126,59,59,59
127,59,59,59
128,49,49,49
129,45,45,45
130,45,45,45
131,40,40,40
132,42,42,42
133,42,42,42
134,42,42,42
135,42,42,42
136,42,42,42
137,40,40,40
138,40,40,40
139,40,40,40
140,40,40,40
141,40,40,40
142,40,40,40
143,41,41,41
144,40,40,40
145,40,40,40
146,41,41,41
147,41,41,41
148,41,41,41
149,41,41,41
150,40,40,40
151,40,40,40
152,40,40,40
153,41,41,41
154,41,41,41
155,41,41,41
156,43,43,43
157,42,42,42
158,42,42,42
159,47,47,47
160,47,47,47
161,47,47,47
162,47,47,47
163,47,47,47
164,47,47,47
165,47,47,47
166,47,47,47
167,47,47,47
168,47,47,47
169,50,50,50
170,50,50,50
171,50,50,50
172,50,50,50
173,50,50,50
174,50,50,50
175,50,50,50
176,50,50,50
177,64,64,64
178,62,62,62
179,62,62,62
180,62,62,62
181,64,64,64
182,65,65,65
183,65,65,65
184,67,67,67
185,67,67,67
186,67,67,67
187,67,67,67
188,67,67,67
189,67,67,67
190,71,71,71
191,71,71,71
192,71,71,71
193,71,71,71
194,71,71,71
195,66,66,66
196,66,66,66
197,66,66,66
198,64,64,64
199,64,64,64
200,68,68,68
201,68,68,68
202,64,64,64
203,64,64,64
204,64,64,64
205,64,64,64
206,64,64,64
207,64,64,64
208,64,64,64
209,64,64,64
210,64,64,64
211,64,64,64
212,64,64,64
213,64,64,64
214,57,57,57
215,57,57,57
216,57,57,57
217,57,57,57
218,57,57,57
219,57,57,57
220,52,52,52
221,52,52,52
222,52,52,52
223,55,55,55
224,55,55,55
225,55,55,55
226,55,55,55
227,52,52,52
228,52,52,52
229,52,52,52
230,54,54,54
231,54,54,54
232,51,51,51
233,51,51,51
234,51,64,51
235,51,51,51
236,52,51,51
237,54,52,52
238,61,54,54
239,58,61,61
240,54,58,58
241,54,54,54
242,54,54,54
243,54,54,54
244,64,54,54
245,64,64,64
