RMSE of SPM,RMSE of baseLine
1.19023807142,0.912870929175
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,15,15,15
1,15,15,15
2,15,15,15
3,15,15,15
4,13,13,13
5,13,13,13
6,11,11,11
7,11,11,11
8,11,11,11
9,11,11,11
10,10,10,10
11,10,10,10
12,10,10,10
13,11,11,11
14,10,10,10
15,10,10,10
16,11,11,11
17,11,11,11
18,10,10,10
19,10,10,10
20,9,9,9
21,8,8,8
22,8,8,8
23,8,8,8
24,9,9,9
25,9,9,9
26,9,9,9
27,9,9,9
28,9,9,9
29,9,9,9
30,9,9,9
31,9,9,9
32,9,9,9
33,9,9,9
34,10,10,10
35,10,10,10
36,11,11,11
37,11,11,11
38,10,10,10
39,10,10,10
40,10,10,10
41,11,11,11
42,11,11,11
43,11,11,11
44,11,11,11
45,11,11,11
46,11,11,11
47,11,11,11
48,11,11,11
49,11,11,11
50,11,11,11
51,11,11,11
52,11,11,11
53,11,11,11
54,11,11,11
55,11,11,11
56,13,13,13
57,13,13,13
58,13,13,13
59,13,13,13
60,13,13,13
61,14,14,14
62,15,15,15
63,15,15,15
64,15,15,15
65,16,16,16
66,16,16,16
67,15,15,15
68,15,15,15
69,15,15,15
70,15,15,15
71,15,15,15
72,15,15,15
73,15,15,15
74,17,17,17
75,17,17,17
76,20,20,20
77,17,17,17
78,17,17,17
79,17,17,17
80,17,17,17
81,17,17,17
82,21,21,21
83,21,21,21
84,21,21,21
85,21,21,21
86,21,21,21
87,21,21,21
88,22,22,22
89,22,22,22
90,22,22,22
91,22,22,22
92,22,22,22
93,24,24,24
94,23,23,23
95,23,23,23
96,24,24,24
97,24,24,24
98,25,25,25
99,25,25,25
100,24,24,24
101,24,24,24
102,24,24,24
103,24,24,24
104,24,24,24
105,24,24,24
106,24,24,24
107,28,28,28
108,28,28,28
109,28,28,28
110,28,28,28
111,26,26,26
112,27,27,27
113,27,27,27
114,27,27,27
115,27,27,27
116,27,27,27
117,27,27,27
118,27,27,27
119,29,29,29
120,29,29,29
121,29,29,29
122,29,29,29
123,29,29,29
124,29,29,29
125,29,29,29
126,27,27,27
127,28,28,28
128,28,28,28
129,28,28,28
130,26,26,26
131,26,26,26
132,26,26,26
133,29,29,29
134,29,29,29
135,29,29,29
136,31,31,31
137,31,31,31
138,29,29,29
139,29,29,29
140,29,29,29
141,38,38,38
142,38,38,38
143,42,42,42
144,42,42,42
145,42,42,42
146,42,42,42
147,42,42,42
148,45,45,45
149,45,45,45
150,45,45,45
151,34,34,34
152,34,34,34
153,37,37,37
154,37,37,37
155,26,26,26
156,25,25,25
157,25,25,25
158,25,25,25
159,25,25,25
160,24,24,24
161,24,24,24
162,24,24,24
163,24,24,24
164,24,24,24
165,24,24,24
166,26,26,26
167,24,24,24
168,26,26,26
169,26,26,26
170,24,24,24
171,24,24,24
172,26,26,26
173,26,26,26
174,25,25,25
175,25,25,25
176,25,25,25
177,25,25,25
178,25,25,25
179,24,24,24
180,24,24,24
181,25,25,25
182,23,23,23
183,24,24,24
184,24,24,24
185,23,23,23
186,23,23,23
187,23,23,23
188,22,22,22
189,23,23,23
190,23,23,23
191,23,23,23
192,23,23,23
193,23,23,23
194,23,23,23
195,24,24,24
196,24,24,24
197,24,24,24
198,24,24,24
199,25,25,25
200,25,25,25
201,25,25,25
202,25,25,25
203,25,25,25
204,24,24,24
205,24,24,24
206,23,23,23
207,23,23,23
208,23,23,23
209,23,23,23
210,23,23,23
211,22,22,22
212,21,21,21
213,21,21,21
214,22,22,22
215,22,22,22
216,22,22,22
217,23,23,23
218,22,22,22
219,22,22,22
220,22,22,22
221,22,22,22
222,22,22,22
223,22,22,22
224,22,22,22
225,22,22,22
226,22,22,22
227,22,22,22
228,22,22,22
229,22,22,22
230,22,22,22
231,22,22,22
232,22,22,22
233,22,22,22
234,21,21,21
235,21,21,21
236,21,21,21
237,21,21,21
238,21,23,21
239,21,21,21
240,23,21,21
241,23,23,23
242,24,23,23
243,22,24,24
244,22,22,22
245,23,22,22
246,23,23,23
247,23,24,23
248,23,24,23
249,23,24,23
