RMSE of SPM,RMSE of baseLine
2.06155281281,1.75594229214
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,31,31,31
1,31,31,31
2,31,31,31
3,31,31,31
4,31,31,31
5,31,31,31
6,43,43,43
7,46,46,46
8,42,42,42
9,42,42,42
10,42,42,42
11,42,42,42
12,40,40,40
13,40,40,40
14,40,40,40
15,40,40,40
16,40,40,40
17,36,36,36
18,38,38,38
19,38,38,38
20,38,38,38
21,33,33,33
22,33,33,33
23,30,30,30
24,30,30,30
25,30,30,30
26,30,30,30
27,30,30,30
28,30,30,30
29,30,30,30
30,30,30,30
31,47,47,47
32,46,46,46
33,43,43,43
34,46,46,46
35,48,48,48
36,49,49,49
37,49,49,49
38,49,49,49
39,42,42,42
40,42,42,42
41,42,42,42
42,42,42,42
43,42,42,42
44,42,42,42
45,43,43,43
46,45,45,45
47,45,45,45
48,40,40,40
49,41,41,41
50,41,41,41
51,41,41,41
52,41,41,41
53,37,37,37
54,37,37,37
55,37,37,37
56,37,37,37
57,37,37,37
58,37,37,37
59,34,34,34
60,31,31,31
61,31,31,31
62,31,31,31
63,31,31,31
64,31,31,31
65,30,30,30
66,30,30,30
67,35,35,35
68,37,37,37
69,37,37,37
70,37,37,37
71,37,37,37
72,39,39,39
73,39,39,39
74,39,39,39
75,36,36,36
76,36,36,36
77,38,38,38
78,41,41,41
79,41,41,41
80,45,45,45
81,45,45,45
82,45,45,45
83,45,45,45
84,45,45,45
85,45,45,45
86,45,45,45
87,76,76,76
88,76,76,76
89,76,76,76
90,76,76,76
91,76,76,76
92,77,77,77
93,75,75,75
94,75,75,75
95,75,75,75
96,67,67,67
97,61,61,61
98,73,73,73
99,73,73,73
100,78,78,78
101,78,78,78
102,78,78,78
103,78,78,78
104,78,78,78
105,78,78,78
106,77,77,77
107,77,77,77
108,85,85,85
109,85,85,85
110,85,85,85
111,85,85,85
112,85,85,85
113,92,92,92
114,92,92,92
115,90,90,90
116,90,90,90
117,90,90,90
118,90,90,90
119,86,86,86
120,86,86,86
121,86,86,86
122,86,86,86
123,80,80,80
124,80,80,80
125,76,76,76
126,76,76,76
127,76,76,76
128,78,78,78
129,75,75,75
130,73,73,73
131,74,74,74
132,74,74,74
133,74,74,74
134,74,74,74
135,69,69,69
136,67,67,67
137,61,61,61
138,61,61,61
139,61,61,61
140,61,61,61
141,55,55,55
142,55,55,55
143,54,54,54
144,56,56,56
145,56,56,56
146,56,56,56
147,57,57,57
148,57,57,57
149,57,57,57
150,55,55,55
151,54,54,54
152,54,54,54
153,54,54,54
154,54,54,54
155,50,50,50
156,50,50,50
157,45,45,45
158,45,45,45
159,45,45,45
160,44,44,44
161,45,45,45
162,45,45,45
163,45,45,45
164,45,45,45
165,44,44,44
166,44,44,44
167,46,46,46
168,46,46,46
169,47,47,47
170,47,47,47
171,47,47,47
172,45,45,45
173,45,45,45
174,45,45,45
175,45,45,45
176,45,48,45
177,45,45,45
178,46,45,45
179,48,45,46
180,48,48,48
181,48,48,48
182,48,48,48
183,48,48,48
184,48,48,48
185,52,48,48
186,52,52,52
187,48,52,52
