RMSE of SPM,RMSE of baseLine
1.15470053838,0.408248290464
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,11,11,11
1,11,11,11
2,11,11,11
3,11,11,11
4,11,11,11
5,11,11,11
6,11,11,11
7,13,13,13
8,13,13,13
9,13,13,13
10,16,16,16
11,16,16,16
12,16,16,16
13,16,16,16
14,16,16,16
15,16,16,16
16,16,16,16
17,16,16,16
18,25,25,25
19,25,25,25
20,25,25,25
21,26,26,26
22,26,26,26
23,28,28,28
24,28,28,28
25,27,27,27
26,28,28,28
27,28,28,28
28,28,28,28
29,29,29,29
30,30,30,30
31,30,30,30
32,30,30,30
33,30,30,30
34,30,30,30
35,30,30,30
36,31,31,31
37,31,31,31
38,29,29,29
39,29,29,29
40,29,29,29
41,30,30,30
42,29,29,29
43,30,30,30
44,30,30,30
45,30,30,30
46,28,28,28
47,28,28,28
48,28,28,28
49,28,28,28
50,26,26,26
51,27,27,27
52,27,27,27
53,24,24,24
54,24,24,24
55,24,24,24
56,24,24,24
57,24,24,24
58,24,24,24
59,24,24,24
60,25,25,25
61,25,25,25
62,25,25,25
63,25,25,25
64,25,25,25
65,25,25,25
66,24,24,24
67,24,24,24
68,23,23,23
69,22,22,22
70,22,22,22
71,22,22,22
72,22,22,22
73,22,22,22
74,21,21,21
75,20,20,20
76,20,20,20
77,20,20,20
78,20,20,20
79,20,20,20
80,20,20,20
81,20,20,20
82,20,20,20
83,20,20,20
84,20,20,20
85,20,20,20
86,20,20,20
87,22,22,22
88,23,23,23
89,23,23,23
90,23,23,23
91,23,23,23
92,27,27,27
93,27,27,27
94,30,30,30
95,31,31,31
96,31,31,31
97,31,31,31
98,31,31,31
99,31,31,31
100,31,31,31
101,31,31,31
102,31,31,31
103,36,36,36
104,35,35,35
105,36,36,36
106,36,36,36
107,36,36,36
108,40,40,40
109,40,40,40
110,40,40,40
111,40,40,40
112,40,40,40
113,43,43,43
114,43,43,43
115,43,43,43
116,43,43,43
117,42,42,42
118,42,42,42
119,42,42,42
120,42,42,42
121,42,42,42
122,42,42,42
123,42,42,42
124,42,42,42
125,42,42,42
126,42,42,42
127,42,42,42
128,42,42,42
129,42,42,42
130,42,42,42
131,41,41,41
132,41,41,41
133,41,41,41
134,41,41,41
135,41,41,41
136,41,41,41
137,41,41,41
138,40,40,40
139,40,40,40
140,38,38,38
141,38,38,38
142,41,41,41
143,41,41,41
144,41,41,41
145,40,40,40
146,40,40,40
147,40,40,40
148,40,40,40
149,40,40,40
150,40,40,40
151,40,40,40
152,43,43,43
153,43,43,43
154,43,43,43
155,43,43,43
156,43,43,43
157,43,43,43
158,43,43,43
159,43,43,43
160,43,43,43
161,43,43,43
162,43,43,43
163,43,43,43
164,43,43,43
165,43,43,43
166,43,43,43
167,43,43,43
168,43,43,43
169,40,40,40
170,40,40,40
171,40,40,40
172,39,39,39
173,39,39,39
174,39,39,39
175,39,39,39
176,39,39,39
177,40,40,40
178,40,40,40
179,40,40,40
180,40,40,40
181,40,40,40
182,37,37,37
183,37,37,37
184,38,38,38
185,37,37,37
186,37,37,37
187,37,37,37
188,37,37,37
189,38,38,38
190,38,38,38
191,38,38,38
192,38,38,38
193,38,38,38
194,38,38,38
195,38,38,38
196,38,38,38
197,38,38,38
198,38,38,38
199,41,41,41
200,40,40,40
201,40,40,40
202,40,40,40
203,39,39,39
204,39,39,39
205,42,42,42
206,42,42,42
207,42,42,42
208,42,42,42
209,42,42,42
210,42,42,42
211,43,43,43
212,43,43,43
213,43,43,43
214,43,43,43
215,43,43,43
216,43,43,43
217,47,47,47
218,46,46,46
219,47,47,47
220,47,47,47
221,47,47,47
222,47,47,47
223,47,47,47
224,48,48,48
225,48,48,48
226,48,48,48
227,48,48,48
228,48,48,48
229,48,48,48
230,48,48,48
231,48,48,48
232,48,48,48
233,47,47,47
234,47,47,47
235,47,47,47
236,47,45,47
237,46,47,47
238,46,46,46
239,46,46,46
240,46,46,46
241,46,44,46
242,46,44,46
243,46,45,46
244,46,45,46
245,46,46,46
246,45,46,46
247,45,45,45
