RMSE of SPM,RMSE of baseLine
1.82574185835,1.8929694486
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,46,46,46
1,46,46,46
2,46,46,46
3,46,46,46
4,46,46,46
5,50,50,50
6,50,50,50
7,55,55,55
8,52,52,52
9,52,52,52
10,52,52,52
11,52,52,52
12,61,61,61
13,61,61,61
14,61,61,61
15,77,77,77
16,77,77,77
17,77,77,77
18,77,77,77
19,77,77,77
20,77,77,77
21,73,73,73
22,72,72,72
23,53,53,53
24,65,65,65
25,68,68,68
26,68,68,68
27,62,62,62
28,62,62,62
29,62,62,62
30,62,62,62
31,62,62,62
32,62,62,62
33,71,71,71
34,71,71,71
35,71,71,71
36,47,47,47
37,47,47,47
38,47,47,47
39,47,47,47
40,52,52,52
41,52,52,52
42,52,52,52
43,52,52,52
44,49,49,49
45,45,45,45
46,45,45,45
47,46,46,46
48,47,47,47
49,47,47,47
50,47,47,47
51,45,45,45
52,45,45,45
53,45,45,45
54,41,41,41
55,41,41,41
56,40,40,40
57,40,40,40
58,43,43,43
59,44,44,44
60,44,44,44
61,44,44,44
62,44,44,44
63,44,44,44
64,44,44,44
65,44,44,44
66,45,45,45
67,45,45,45
68,45,45,45
69,45,45,45
70,45,45,45
71,42,42,42
72,40,40,40
73,39,39,39
74,39,39,39
75,39,39,39
76,39,39,39
77,39,39,39
78,39,39,39
79,39,39,39
80,38,38,38
81,38,38,38
82,38,38,38
83,38,38,38
84,40,40,40
85,40,40,40
86,40,40,40
87,40,40,40
88,40,40,40
89,39,39,39
90,39,39,39
91,39,39,39
92,42,42,42
93,42,42,42
94,42,42,42
95,42,42,42
96,42,42,42
97,36,36,36
98,36,36,36
99,36,36,36
100,36,36,36
101,36,36,36
102,37,37,37
103,37,37,37
104,37,37,37
105,37,37,37
106,37,37,37
107,37,37,37
108,40,40,40
109,40,40,40
110,37,37,37
111,37,37,37
112,37,37,37
113,37,37,37
114,37,37,37
115,37,37,37
116,40,40,40
117,40,40,40
118,40,40,40
119,42,42,42
120,43,43,43
121,43,43,43
122,45,45,45
123,45,45,45
124,45,45,45
125,45,45,45
126,45,45,45
127,43,43,43
128,43,43,43
129,43,43,43
130,44,44,44
131,44,44,44
132,44,44,44
133,44,44,44
134,43,43,43
135,43,43,43
136,43,43,43
137,44,44,44
138,44,44,44
139,44,44,44
140,44,44,44
141,43,43,43
142,45,45,45
143,45,45,45
144,44,44,44
145,44,44,44
146,44,44,44
147,43,43,43
148,44,44,44
149,44,44,44
150,44,44,44
151,45,45,45
152,45,45,45
153,47,47,47
154,49,49,49
155,51,51,51
156,51,51,51
157,51,51,51
158,51,51,51
159,51,51,51
160,51,51,51
161,50,50,50
162,50,50,50
163,50,50,50
164,50,50,50
165,50,50,50
166,50,50,50
167,50,50,50
168,55,55,55
169,55,55,55
170,55,55,55
171,53,53,53
172,52,52,52
173,52,52,52
174,54,54,54
175,58,58,58
176,58,58,58
177,59,59,59
178,62,62,62
179,63,63,63
180,62,62,62
181,59,59,59
182,59,59,59
183,59,59,59
184,61,61,61
185,61,61,61
186,63,63,63
187,63,63,63
188,70,70,70
189,70,70,70
190,71,71,71
191,72,72,72
192,76,76,76
193,77,77,77
194,76,76,76
195,76,76,76
196,77,77,77
197,79,79,79
198,79,79,79
199,80,80,80
200,80,80,80
201,80,80,80
202,79,79,79
203,80,80,80
204,80,80,80
205,81,81,81
206,81,81,81
207,83,83,83
208,83,83,83
209,83,83,83
210,83,83,83
211,83,83,83
212,84,84,84
213,84,84,84
214,84,84,84
215,81,81,81
216,81,81,81
217,81,81,81
218,83,83,83
219,83,83,83
220,83,83,83
221,84,84,84
222,84,84,84
223,85,85,85
224,86,86,86
225,88,88,88
226,88,88,88
227,88,88,88
228,88,88,88
229,87,87,87
230,88,88,88
231,93,93,93
232,91,91,91
233,91,91,91
234,91,91,91
235,88,88,88
236,87,87,87
237,85,86,87
238,85,85,85
239,85,85,85
240,84,85,85
241,84,84,84
242,87,84,84
243,84,87,87
244,82,84,84
245,82,82,82
246,82,82,82
247,86,82,82
248,86,86,86
