RMSE of SPM,RMSE of baseLine
1.58113883008,1.58113883008
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,38,38,38
1,38,38,38
2,43,43,43
3,43,43,43
4,45,45,45
5,45,45,45
6,48,48,48
7,48,48,48
8,48,48,48
9,48,48,48
10,60,60,60
11,60,60,60
12,60,60,60
13,60,60,60
14,60,60,60
15,60,60,60
16,60,60,60
17,35,35,35
18,33,33,33
19,33,33,33
20,30,30,30
21,22,22,22
22,22,22,22
23,22,22,22
24,22,22,22
25,16,16,16
26,16,16,16
27,18,18,18
28,18,18,18
29,18,18,18
30,18,18,18
31,18,18,18
32,20,20,20
33,21,21,21
34,25,25,25
35,29,29,29
36,29,29,29
37,30,30,30
38,30,30,30
39,30,30,30
40,30,30,30
41,27,27,27
42,27,27,27
43,27,27,27
44,27,27,27
45,27,27,27
46,28,28,28
47,28,28,28
48,28,28,28
49,28,28,28
50,28,28,28
51,28,28,28
52,28,28,28
53,27,27,27
54,26,26,26
55,26,26,26
56,26,26,26
57,26,26,26
58,26,26,26
59,26,26,26
60,26,26,26
61,27,27,27
62,28,28,28
63,28,28,28
64,29,29,29
65,29,29,29
66,30,30,30
67,30,30,30
68,30,30,30
69,30,30,30
70,30,30,30
71,30,30,30
72,30,30,30
73,28,28,28
74,28,28,28
75,28,28,28
76,28,28,28
77,28,28,28
78,28,28,28
79,27,27,27
80,27,27,27
81,27,27,27
82,27,27,27
83,27,27,27
84,26,26,26
85,26,26,26
86,27,27,27
87,27,27,27
88,27,27,27
89,27,27,27
90,24,24,24
91,24,24,24
92,24,24,24
93,24,24,24
94,24,24,24
95,24,24,24
96,24,24,24
97,24,24,24
98,24,24,24
99,24,24,24
100,24,24,24
101,24,24,24
102,24,24,24
103,23,23,23
104,23,23,23
105,23,23,23
106,23,23,23
107,24,24,24
108,24,24,24
109,24,24,24
110,24,24,24
111,24,24,24
112,24,24,24
113,23,23,23
114,25,25,25
115,26,26,26
116,26,26,26
117,26,26,26
118,25,25,25
119,26,26,26
120,26,26,26
121,26,26,26
122,27,27,27
123,27,27,27
124,27,27,27
125,27,27,27
126,28,28,28
127,28,28,28
128,28,28,28
129,28,28,28
130,28,28,28
131,28,28,28
132,28,28,28
133,29,29,29
134,29,29,29
135,29,29,29
136,29,29,29
137,29,29,29
138,29,29,29
139,29,29,29
140,29,29,29
141,29,29,29
142,29,29,29
143,27,27,27
144,27,27,27
145,27,27,27
146,27,27,27
147,27,27,27
148,27,27,27
149,27,27,27
150,27,27,27
151,27,27,27
152,39,39,39
153,39,39,39
154,39,39,39
155,42,42,42
156,42,42,42
157,41,41,41
158,39,39,39
159,39,39,39
160,39,39,39
161,39,39,39
162,39,39,39
163,39,39,39
164,39,39,39
165,40,40,40
166,40,40,40
167,40,40,40
168,43,43,43
169,44,44,44
170,45,45,45
171,45,45,45
172,45,45,45
173,45,45,45
174,45,45,45
175,45,45,45
176,46,46,46
177,46,46,46
178,47,47,47
179,47,47,47
180,47,47,47
181,48,48,48
182,48,48,48
183,48,48,48
184,48,48,48
185,48,48,48
186,48,48,48
187,48,48,48
188,48,48,48
189,48,48,48
190,47,47,47
191,47,47,47
192,47,47,47
193,47,47,47
194,47,47,47
195,47,47,47
196,47,47,47
197,47,47,47
198,46,46,46
199,46,46,46
200,46,46,46
201,46,46,46
202,46,46,46
203,39,39,39
204,39,39,39
205,39,39,39
206,42,42,42
207,42,42,42
208,42,42,42
209,49,49,49
210,49,49,49
211,49,49,49
212,54,54,54
213,54,54,54
214,67,67,67
215,67,67,67
216,67,67,67
217,69,69,69
218,69,69,69
219,69,69,69
220,69,69,69
221,69,69,69
222,69,69,69
223,69,69,69
224,69,69,69
225,69,69,69
226,69,69,69
227,69,69,69
228,69,69,69
229,69,69,69
230,69,69,69
231,73,69,69
232,74,73,73
233,74,74,74
234,71,74,74
235,71,71,71
236,69,71,71
237,69,69,69
238,69,69,69
239,69,69,69
